gene	.y.	group1	group2	p	p.adj	p.format	p.signif	method
MAP2	exp	Health	LRRK2	0.0182072829131653	0.29	0.0182	*	Wilcoxon
MAP2	exp	Health	Parkin	0.599074050790298	1	0.5991	ns	Wilcoxon
MAP2	exp	LRRK2	Parkin	0.00335062254566899	0.06	0.0034	**	Wilcoxon
FOXA2	exp	Health	LRRK2	0.0244559362206421	0.37	0.0245	*	Wilcoxon
FOXA2	exp	Health	Parkin	0.0660916505310098	0.86	0.0661	ns	Wilcoxon
FOXA2	exp	LRRK2	Parkin	0.407006821867503	1	0.4070	ns	Wilcoxon
LMX1A	exp	Health	LRRK2	0.124649859943978	1	0.1246	ns	Wilcoxon
LMX1A	exp	Health	Parkin	0.0130163430742243	0.22	0.0130	*	Wilcoxon
LMX1A	exp	LRRK2	Parkin	0.640665835712275	1	0.6407	ns	Wilcoxon
OTX2	exp	Health	LRRK2	0.150506356388709	1	0.1505	ns	Wilcoxon
OTX2	exp	Health	Parkin	0.280289812339886	1	0.2803	ns	Wilcoxon
OTX2	exp	LRRK2	Parkin	0.590031227802126	1	0.5900	ns	Wilcoxon
TH	exp	Health	LRRK2	0.335488041370394	1	0.3355	ns	Wilcoxon
TH	exp	Health	Parkin	0.507018546431657	1	0.5070	ns	Wilcoxon
TH	exp	LRRK2	Parkin	0.0266173455027944	0.37	0.0266	*	Wilcoxon
TUBB3	exp	Health	LRRK2	0.335488041370394	1	0.3355	ns	Wilcoxon
TUBB3	exp	Health	Parkin	0.396531232336859	1	0.3965	ns	Wilcoxon
TUBB3	exp	LRRK2	Parkin	0.261134118719258	1	0.2611	ns	Wilcoxon
