#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04012	ErbB signaling pathway	23	81	1.86	7.3	1.84e-32	9606.ENSP00000222254,9606.ENSP00000233154,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000263967,9606.ENSP00000264033,9606.ENSP00000275493,9606.ENSP00000300574,9606.ENSP00000346300,9606.ENSP00000353864,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000381070,9606.ENSP00000384675,9606.ENSP00000394560,9606.ENSP00000401303,9606.ENSP00000410402,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000499037,9606.ENSP00000501150	PIK3R2,NCK2,PIK3R3,GAB1,PIK3CA,CBL,EGFR,CRK,CRKL,PAK3,ABL1,SRC,PIK3CD,GRB2,MAP2K7,SOS1,MAPK9,SHC1,MAP2K4,PIK3R1,PLCG2,CBLB,PIK3CB
hsa04360	Axon guidance	27	176	1.59	5.88	1.84e-32	9606.ENSP00000222254,9606.ENSP00000233154,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000265371,9606.ENSP00000277895,9606.ENSP00000304283,9606.ENSP00000324857,9606.ENSP00000346671,9606.ENSP00000351338,9606.ENSP00000352882,9606.ENSP00000353864,9606.ENSP00000356000,9606.ENSP00000357909,9606.ENSP00000358696,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000363921,9606.ENSP00000366563,9606.ENSP00000377061,9606.ENSP00000379204,9606.ENSP00000425394,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000497733,9606.ENSP00000501150	PIK3R2,NCK2,RAC2,PIK3R3,PIK3CA,NRP1,ABLIM1,RAC3,SEMA6D,FYN,PLXNB1,PLXNA4,PAK3,PLXNA2,SEMA6C,PLXNA3,ABL1,SRC,PARD3,PIK3CD,PLXNA1,BMP7,ABLIM3,PIK3R1,PLCG2,CDC42,PIK3CB
hsa04722	Neurotrophin signaling pathway	24	112	1.74	6.6	6.74e-32	9606.ENSP00000172229,9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000263967,9606.ENSP00000300574,9606.ENSP00000331602,9606.ENSP00000346300,9606.ENSP00000354207,9606.ENSP00000361264,9606.ENSP00000361423,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000381070,9606.ENSP00000382423,9606.ENSP00000384675,9606.ENSP00000394560,9606.ENSP00000401303,9606.ENSP00000428056,9606.ENSP00000431418,9606.ENSP00000440273,9606.ENSP00000482457,9606.ENSP00000497733,9606.ENSP00000501150	NGFR,PIK3R2,PIK3R3,GAB1,PIK3CA,CRK,PRKCD,CRKL,NTRK3,RAPGEF1,ABL1,PIK3CD,GRB2,MAP2K7,MAP3K1,SOS1,MAPK9,SHC1,PIK3R1,NTRK1,SH2B2,PLCG2,CDC42,PIK3CB
hsa04664	Fc epsilon RI signaling pathway	20	65	1.9	6.86	4.26e-29	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000304283,9606.ENSP00000346671,9606.ENSP00000354952,9606.ENSP00000359073,9606.ENSP00000364898,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000381070,9606.ENSP00000384675,9606.ENSP00000394560,9606.ENSP00000410402,9606.ENSP00000428056,9606.ENSP00000468348,9606.ENSP00000472929,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,PIK3CA,RAC3,FYN,GAB2,VAV3,SYK,PIK3CD,GRB2,MAP2K7,SOS1,MAPK9,MAP2K4,PIK3R1,MAP2K6,VAV1,PLCG2,PIK3CB
hsa04510	Focal adhesion	25	195	1.52	5.05	1.68e-28	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000265382,9606.ENSP00000275493,9606.ENSP00000300574,9606.ENSP00000304283,9606.ENSP00000346300,9606.ENSP00000346671,9606.ENSP00000353864,9606.ENSP00000359073,9606.ENSP00000361264,9606.ENSP00000362680,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000384675,9606.ENSP00000394560,9606.ENSP00000401303,9606.ENSP00000428056,9606.ENSP00000472929,9606.ENSP00000485033,9606.ENSP00000495360,9606.ENSP00000497733,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,PIK3CA,PIP5K1B,EGFR,CRK,RAC3,CRKL,FYN,PAK3,VAV3,RAPGEF1,SRC,PIK3CD,GRB2,SOS1,MAPK9,SHC1,PIK3R1,VAV1,DOCK1,CTNNB1,CDC42,PIK3CB
hsa04015	Rap1 signaling pathway	25	201	1.5	4.96	2.80e-28	9606.ENSP00000172229,9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000286827,9606.ENSP00000289104,9606.ENSP00000295797,9606.ENSP00000300574,9606.ENSP00000304283,9606.ENSP00000346300,9606.ENSP00000359073,9606.ENSP00000361120,9606.ENSP00000361264,9606.ENSP00000362680,9606.ENSP00000363921,9606.ENSP00000366563,9606.ENSP00000382004,9606.ENSP00000428056,9606.ENSP00000468348,9606.ENSP00000472929,9606.ENSP00000495360,9606.ENSP00000497733,9606.ENSP00000501150	NGFR,PIK3R2,RAC2,PIK3R3,PIK3CA,EGFR,TIAM1,MRAS,PRKCI,CRK,RAC3,CRKL,VAV3,RALGDS,RAPGEF1,SRC,PARD3,PIK3CD,CTNND1,PIK3R1,MAP2K6,VAV1,CTNNB1,CDC42,PIK3CB
hsa05135	Yersinia infection	22	124	1.66	5.64	8.45e-28	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000265382,9606.ENSP00000290246,9606.ENSP00000300574,9606.ENSP00000304283,9606.ENSP00000312185,9606.ENSP00000346300,9606.ENSP00000359073,9606.ENSP00000362680,9606.ENSP00000366563,9606.ENSP00000381070,9606.ENSP00000394560,9606.ENSP00000410402,9606.ENSP00000428056,9606.ENSP00000468348,9606.ENSP00000472929,9606.ENSP00000485033,9606.ENSP00000497733,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,PIK3CA,PIP5K1B,ELMO2,CRK,RAC3,ELMO1,CRKL,VAV3,SRC,PIK3CD,MAP2K7,MAPK9,MAP2K4,PIK3R1,MAP2K6,VAV1,DOCK1,CDC42,PIK3CB
hsa04062	Chemokine signaling pathway	24	186	1.52	4.96	1.55e-27	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000286827,9606.ENSP00000300574,9606.ENSP00000304283,9606.ENSP00000312185,9606.ENSP00000331602,9606.ENSP00000346300,9606.ENSP00000359073,9606.ENSP00000361009,9606.ENSP00000362680,9606.ENSP00000363921,9606.ENSP00000365012,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000384675,9606.ENSP00000401303,9606.ENSP00000428056,9606.ENSP00000472929,9606.ENSP00000482457,9606.ENSP00000497733,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,PIK3CA,TIAM1,CRK,RAC3,ELMO1,PRKCD,CRKL,VAV3,PREX1,SRC,PARD3,HCK,PIK3CD,GRB2,SOS1,SHC1,PIK3R1,VAV1,PLCG2,CDC42,PIK3CB
hsa04014	Ras signaling pathway	25	225	1.45	4.62	2.51e-27	9606.ENSP00000172229,9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000286827,9606.ENSP00000289104,9606.ENSP00000304283,9606.ENSP00000353864,9606.ENSP00000354952,9606.ENSP00000361120,9606.ENSP00000361423,9606.ENSP00000366563,9606.ENSP00000372924,9606.ENSP00000376345,9606.ENSP00000384675,9606.ENSP00000394560,9606.ENSP00000401303,9606.ENSP00000428056,9606.ENSP00000431418,9606.ENSP00000482457,9606.ENSP00000497733,9606.ENSP00000501150	NGFR,PIK3R2,RAC2,PIK3R3,GAB1,PIK3CA,EGFR,TIAM1,MRAS,RAC3,PAK3,GAB2,RALGDS,ABL1,PIK3CD,RALBP1,GRB2,SOS1,MAPK9,SHC1,PIK3R1,NTRK1,PLCG2,CDC42,PIK3CB
hsa04666	Fc gamma R-mediated phagocytosis	19	90	1.73	5.57	3.07e-25	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000265382,9606.ENSP00000300574,9606.ENSP00000331602,9606.ENSP00000346300,9606.ENSP00000354952,9606.ENSP00000359073,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000472929,9606.ENSP00000482457,9606.ENSP00000485033,9606.ENSP00000497733,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,PIK3CA,PIP5K1B,CRK,PRKCD,CRKL,GAB2,VAV3,SYK,HCK,PIK3CD,PIK3R1,VAV1,PLCG2,DOCK1,CDC42,PIK3CB
