geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0030055	cell-substrate junction	http://amigo.geneontology.org/amigo/term/GO:0030055	433	53	9.948180446084185	5.327607424015104	1.0121761884830055e-23	4.6134990671055394e-20	60;71;81;87;301;309;387;977;998;1000;1072;1213;1465;1495;1499;1956;2195;2316;2697;2934;3371;3675;3678;3688;3691;3728;4478;4627;4739;5747;5754;5829;6464;6522;6714;6868;7094;7414;7430;7529;7534;8470;8754;8826;9260;10979;11078;29780;55742;64759;79026;79834;85464	geneontology_Cellular_Component_noRedundant	ENSG00000075624;ENSG00000184009;ENSG00000291420;ENSG00000072110;ENSG00000130402;ENSG00000282844;ENSG00000151694;ENSG00000168615;ENSG00000282230;ENSG00000124942;ENSG00000135046;ENSG00000197043;ENSG00000177697;ENSG00000070831;ENSG00000170558;ENSG00000172757;ENSG00000141367;ENSG00000159176;ENSG00000044115;ENSG00000168036;ENSG00000146648;ENSG00000092820;ENSG00000083857;ENSG00000073712;ENSG00000196924;ENSG00000152661;ENSG00000148180;ENSG00000140575;ENSG00000005884;ENSG00000161638;ENSG00000150093;ENSG00000132470;ENSG00000173801;ENSG00000147065;ENSG00000100345;ENSG00000111859;ENSG00000197702;ENSG00000188677;ENSG00000196923;ENSG00000173517;ENSG00000169398;ENSG00000112655;ENSG00000089159;ENSG00000067560;ENSG00000160691;ENSG00000164889;ENSG00000154556;ENSG00000197122;ENSG00000291971;ENSG00000141298;ENSG00000137076;ENSG00000041982;ENSG00000136205;ENSG00000100106;ENSG00000035403;ENSG00000166913;ENSG00000164924
GO:0031252	cell leading edge	http://amigo.geneontology.org/amigo/term/GO:0031252	426	46	9.787355358041255	4.69994174291491	1.8098159433979767e-18	4.124570535003989e-15	60;87;207;387;998;999;1000;1072;1495;1499;1956;2064;2195;2890;2934;3678;3688;3691;4254;4627;4641;4651;4739;5829;5881;6453;6624;6714;6868;7016;7094;7168;7430;8470;8826;8976;9260;10979;22848;28988;29085;29780;55742;56940;57403;83442	geneontology_Cellular_Component_noRedundant	ENSG00000115977;ENSG00000075624;ENSG00000072110;ENSG00000151694;ENSG00000142208;ENSG00000070831;ENSG00000039068;ENSG00000170558;ENSG00000172757;ENSG00000044115;ENSG00000168036;ENSG00000136279;ENSG00000112679;ENSG00000146648;ENSG00000141736;ENSG00000092820;ENSG00000083857;ENSG00000073712;ENSG00000075618;ENSG00000155511;ENSG00000148180;ENSG00000140575;ENSG00000161638;ENSG00000150093;ENSG00000132470;ENSG00000205726;ENSG00000049130;ENSG00000100345;ENSG00000145555;ENSG00000197879;ENSG00000111859;ENSG00000197702;ENSG00000188677;ENSG00000196923;ENSG00000054148;ENSG00000089159;ENSG00000124209;ENSG00000169750;ENSG00000067560;ENSG00000142669;ENSG00000154556;ENSG00000197122;ENSG00000291971;ENSG00000107140;ENSG00000137076;ENSG00000140416;ENSG00000106299
GO:0003779	actin binding	http://amigo.geneontology.org/amigo/term/GO:0003779	431	45	9.902230420929062	4.5444307077412915	1.611555803210901e-17	2.4484904503450958e-14	27;81;87;119;309;800;1072;1073;1495;1956;2039;2316;2934;3688;4478;4627;4641;4651;5747;6624;7094;7168;7414;7430;7533;8407;8826;8976;9260;9948;10979;11034;11078;22998;23307;28988;29085;29766;29780;51088;55742;57617;57619;65108;85464	geneontology_Molecular_Function_noRedundant	ENSG00000143322;ENSG00000072110;ENSG00000130402;ENSG00000282844;ENSG00000075340;ENSG00000197043;ENSG00000122786;ENSG00000172757;ENSG00000165410;ENSG00000044115;ENSG00000136279;ENSG00000158856;ENSG00000125868;ENSG00000146648;ENSG00000092820;ENSG00000073712;ENSG00000119321;ENSG00000196924;ENSG00000075618;ENSG00000148180;ENSG00000140575;ENSG00000150093;ENSG00000109790;ENSG00000064042;ENSG00000175130;ENSG00000147065;ENSG00000100345;ENSG00000145555;ENSG00000197879;ENSG00000197702;ENSG00000188677;ENSG00000196923;ENSG00000054148;ENSG00000169398;ENSG00000138771;ENSG00000141298;ENSG00000158710;ENSG00000137076;ENSG00000138594;ENSG00000140416;ENSG00000100106;ENSG00000035403;ENSG00000104142;ENSG00000106299;ENSG00000071127;ENSG00000128245
GO:0034329	cell junction assembly	http://amigo.geneontology.org/amigo/term/GO:0034329	445	45	10.223880597014926	4.401459854014599	5.4989796144744355e-17	6.266087270693619e-14	60;71;87;119;387;389;998;999;1000;1495;1499;1845;2039;2042;2049;2239;2258;2335;2697;2890;3678;3691;3728;3915;4641;5747;6259;6281;6585;6624;6714;7082;7094;7414;8128;9948;10979;22941;22998;28988;51564;56940;79834;81671;94030	geneontology_Biological_Process_noRedundant	ENSG00000075624;ENSG00000184009;ENSG00000291420;ENSG00000072110;ENSG00000075340;ENSG00000070831;ENSG00000039068;ENSG00000170558;ENSG00000044115;ENSG00000168036;ENSG00000136279;ENSG00000158856;ENSG00000112679;ENSG00000108861;ENSG00000044524;ENSG00000182580;ENSG00000073712;ENSG00000129682;ENSG00000115414;ENSG00000075618;ENSG00000152661;ENSG00000076716;ENSG00000155511;ENSG00000061273;ENSG00000161638;ENSG00000132470;ENSG00000173801;ENSG00000135862;ENSG00000064042;ENSG00000131409;ENSG00000197879;ENSG00000173517;ENSG00000169398;ENSG00000067560;ENSG00000155366;ENSG00000163785;ENSG00000197747;ENSG00000162105;ENSG00000187122;ENSG00000197122;ENSG00000291971;ENSG00000140557;ENSG00000104067;ENSG00000277401;ENSG00000137076;ENSG00000035403;ENSG00000062716;ENSG00000071127
WP306	Focal adhesion	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP306&label[]=ACTB&label[]=ACTG1&label[]=ACTG1&label[]=ACTN1&label[]=ACTN4&label[]=ACTN4&label[]=AKT1&label[]=CCND1&label[]=CDC42&label[]=CTNNB1&label[]=EGFR&label[]=ERBB2&label[]=FLNA&label[]=FN1&label[]=ITGA3&label[]=ITGA5&label[]=ITGB1&label[]=ITGB4&label[]=LAMB2&label[]=LAMC1&label[]=PARVA&label[]=PARVB&label[]=PTK2&label[]=PXN&label[]=RAC3&label[]=RHOA&label[]=SHC1&label[]=SRC&label[]=SRC&label[]=TLN1&label[]=TNC&label[]=VCL&label[]=VEGFB&colors=steelblue	199	30	4.572027502934764	6.561640318380222	2.4205490428813607e-16	2.2065725074906485e-13	1499;3678;29780;5747;3688;2064;3371;6464;3913;998;60;595;5881;7423;2316;3915;2335;3675;207;5829;81;6714;71;7414;7094;3691;1956;387;87;55742	pathway_WikiPathways	ENSG00000075624;ENSG00000184009;ENSG00000291420;ENSG00000072110;ENSG00000130402;ENSG00000282844;ENSG00000142208;ENSG00000110092;ENSG00000070831;ENSG00000168036;ENSG00000146648;ENSG00000141736;ENSG00000196924;ENSG00000115414;ENSG00000005884;ENSG00000161638;ENSG00000150093;ENSG00000132470;ENSG00000172037;ENSG00000135862;ENSG00000197702;ENSG00000188677;ENSG00000169398;ENSG00000089159;ENSG00000169750;ENSG00000067560;ENSG00000160691;ENSG00000197122;ENSG00000291971;ENSG00000137076;ENSG00000041982;ENSG00000035403;ENSG00000173511
hsa04510	Focal adhesion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04510+1499+1956+2064+207+2316+2335+29780+3371+3675+3678+3688+3691+387+3913+3915+55742+5747+5829+5881+595+60+6464+6714+7094+71+7414+7423+81+87+998	203	30	4.663927553245011	6.432346913091942	4.2417298746248064e-16	3.2223007947566444e-13	1499;1956;2064;207;2316;2335;29780;3371;3675;3678;3688;3691;387;3913;3915;55742;5747;5829;5881;595;60;6464;6714;7094;71;7414;7423;81;87;998	pathway_KEGG	ENSG00000075624;ENSG00000184009;ENSG00000291420;ENSG00000072110;ENSG00000130402;ENSG00000282844;ENSG00000142208;ENSG00000110092;ENSG00000070831;ENSG00000168036;ENSG00000146648;ENSG00000141736;ENSG00000196924;ENSG00000115414;ENSG00000005884;ENSG00000161638;ENSG00000150093;ENSG00000132470;ENSG00000172037;ENSG00000135862;ENSG00000197702;ENSG00000188677;ENSG00000169398;ENSG00000089159;ENSG00000169750;ENSG00000067560;ENSG00000160691;ENSG00000197122;ENSG00000291971;ENSG00000137076;ENSG00000041982;ENSG00000035403;ENSG00000173511
R-HSA-9675108	Nervous system development	http://reactome.org/PathwayBrowser/#/R-HSA-9675108	578	49	13.279557269830622	3.689882049857298	2.5419646971921836e-15	1.4823757611062846e-12	10413;1072;11313;1212;1213;1741;1742;1947;1956;2042;2049;2064;2107;219699;27;2817;3678;3688;387;389;3915;3985;4478;4627;4637;4651;51065;5362;5600;5718;5747;60;6192;64221;6453;6464;6585;6714;6721;7094;71;7430;79966;8128;8828;8976;8997;9260;998	pathway_Reactome	ENSG00000143322;ENSG00000075624;ENSG00000184009;ENSG00000291420;ENSG00000070831;ENSG00000172757;ENSG00000175416;ENSG00000141367;ENSG00000082458;ENSG00000132535;ENSG00000090776;ENSG00000146648;ENSG00000044524;ENSG00000182580;ENSG00000141736;ENSG00000120705;ENSG00000092820;ENSG00000063660;ENSG00000161638;ENSG00000150093;ENSG00000205726;ENSG00000160145;ENSG00000135862;ENSG00000182541;ENSG00000011009;ENSG00000185386;ENSG00000147065;ENSG00000100345;ENSG00000092841;ENSG00000145555;ENSG00000118257;ENSG00000196923;ENSG00000076356;ENSG00000197170;ENSG00000169398;ENSG00000067560;ENSG00000155366;ENSG00000154134;ENSG00000185088;ENSG00000129824;ENSG00000145284;ENSG00000160691;ENSG00000187122;ENSG00000197122;ENSG00000291971;ENSG00000198911;ENSG00000140557;ENSG00000137076;ENSG00000107731;ENSG00000106299;ENSG00000137693
WP3888	VEGFA VEGFR2 signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3888&label[]=ACTG1&label[]=ACTG1&label[]=ADAM9&label[]=ADAM9&label[]=AKT1&label[]=ANXA1&label[]=ATF6&label[]=ATP6V0D1&label[]=BCL2L1&label[]=CCND1&label[]=CDC42&label[]=CFL1&label[]=CLTC&label[]=CSRP1&label[]=CTNNA1&label[]=CTNNB1&label[]=EIF4G2&label[]=ELOA&label[]=EZR&label[]=FN1&label[]=FSCN1&label[]=GAPDH&label[]=GJA1&label[]=GPC1&label[]=HDAC7&label[]=IQGAP1&label[]=ITGB1&label[]=MYH9&label[]=MYO1C&label[]=NRP2&label[]=PGD&label[]=PTK2&label[]=PXN&label[]=RHOA&label[]=RHOC&label[]=SARS1&label[]=SH3BGRL3&label[]=SHC1&label[]=SLC25A25&label[]=SRC&label[]=SRC&label[]=SSR3&label[]=STAT3&label[]=TMOD3&label[]=VCL&colors=steelblue	432	42	9.925205433506624	4.231650446066505	2.6018003705244136e-15	1.4823757611062846e-12	71;301;9114;1982;8826;5226;6301;83442;6747;1465;2335;6624;2597;4641;29766;6774;6924;6714;6464;5747;3688;387;389;998;4627;207;1072;5829;2697;22926;7430;1499;1495;7414;1213;8828;51564;595;598;2817;8754;114789	pathway_WikiPathways	ENSG00000184009;ENSG00000291420;ENSG00000168615;ENSG00000282230;ENSG00000142208;ENSG00000135046;ENSG00000118217;ENSG00000159720;ENSG00000171552;ENSG00000110092;ENSG00000070831;ENSG00000172757;ENSG00000141367;ENSG00000159176;ENSG00000044115;ENSG00000168036;ENSG00000110321;ENSG00000011007;ENSG00000092820;ENSG00000115414;ENSG00000075618;ENSG00000111640;ENSG00000152661;ENSG00000063660;ENSG00000061273;ENSG00000140575;ENSG00000150093;ENSG00000100345;ENSG00000197879;ENSG00000118257;ENSG00000142657;ENSG00000169398;ENSG00000089159;ENSG00000067560;ENSG00000155366;ENSG00000031698;ENSG00000142669;ENSG00000160691;ENSG00000148339;ENSG00000197122;ENSG00000291971;ENSG00000114850;ENSG00000168610;ENSG00000138594;ENSG00000035403
GO:0031589	cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0031589	350	37	8.04125440214657	4.6012721584984355	9.410280926099855e-15	4.765784495684793e-12	71;81;87;302;387;998;1499;1845;2039;2042;2049;2316;2335;3675;3678;3688;3691;3728;3915;4059;4739;5747;5829;5881;6281;6714;7016;7094;7414;8754;10979;11078;22998;29780;55742;56940;79834	geneontology_Biological_Process_noRedundant	ENSG00000184009;ENSG00000291420;ENSG00000072110;ENSG00000130402;ENSG00000282844;ENSG00000168615;ENSG00000282230;ENSG00000182718;ENSG00000187244;ENSG00000070831;ENSG00000168036;ENSG00000158856;ENSG00000112679;ENSG00000108861;ENSG00000044524;ENSG00000182580;ENSG00000073712;ENSG00000196924;ENSG00000115414;ENSG00000005884;ENSG00000161638;ENSG00000150093;ENSG00000132470;ENSG00000173801;ENSG00000135862;ENSG00000064042;ENSG00000111859;ENSG00000197702;ENSG00000188677;ENSG00000173517;ENSG00000169398;ENSG00000089159;ENSG00000169750;ENSG00000067560;ENSG00000197747;ENSG00000197122;ENSG00000291971;ENSG00000107140;ENSG00000137076;ENSG00000100106;ENSG00000035403
GO:0150115	cell-substrate junction organization	http://amigo.geneontology.org/amigo/term/GO:0150115	103	21	2.3664262954888478	8.87414074126568	1.6832743362205397e-14	7.672364424493221e-12	71;87;387;1845;2039;2042;2335;3678;3691;3915;5747;6281;6714;7094;7414;9922;10979;22998;51762;56940;79834	geneontology_Biological_Process_noRedundant	ENSG00000184009;ENSG00000291420;ENSG00000072110;ENSG00000158856;ENSG00000112679;ENSG00000108861;ENSG00000044524;ENSG00000073712;ENSG00000115414;ENSG00000144711;ENSG00000161638;ENSG00000132470;ENSG00000135862;ENSG00000064042;ENSG00000173517;ENSG00000169398;ENSG00000166128;ENSG00000067560;ENSG00000197747;ENSG00000197122;ENSG00000291971;ENSG00000137076;ENSG00000035403
