#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	CLTB	9606.ENSP00000386456	9606.ENSP00000309415	0	0	0	0	0.042	0.481	0.500	0.277	0.796
AAK1	ITSN1	9606.ENSP00000386456	9606.ENSP00000370719	0	0	0	0	0	0	0.500	0.432	0.704
AAK1	MAP1LC3B	9606.ENSP00000386456	9606.ENSP00000498476	0	0	0	0	0	0	0	0.415	0.415
AAK1	DBNL	9606.ENSP00000386456	9606.ENSP00000417653	0	0	0	0	0.054	0.463	0	0.165	0.538
AAK1	CLTC	9606.ENSP00000386456	9606.ENSP00000479606	0	0	0	0	0.093	0.267	0.500	0.388	0.769
ABHD4	DAD1	9606.ENSP00000414558	9606.ENSP00000250498	0	0	0	0	0.042	0	0	0.436	0.436
ABL2	STAT3	9606.ENSP00000427562	9606.ENSP00000264657	0	0	0	0	0.107	0.454	0	0.286	0.622
ABL2	ERBB2	9606.ENSP00000427562	9606.ENSP00000269571	0	0	0.109	0.590	0	0.615	0	0.162	0.687
ABL2	EGFR	9606.ENSP00000427562	9606.ENSP00000275493	0	0	0.125	0.591	0.047	0.709	0	0.208	0.782
ABL2	RAC3	9606.ENSP00000427562	9606.ENSP00000304283	0	0	0	0	0.082	0.222	0.900	0.093	0.926
ABL2	MN1	9606.ENSP00000427562	9606.ENSP00000304956	0	0	0	0	0.042	0.053	0	0.475	0.482
ABL2	FN1	9606.ENSP00000427562	9606.ENSP00000346839	0	0	0	0	0.058	0	0	0.444	0.454
ABL2	SORBS2	9606.ENSP00000427562	9606.ENSP00000347852	0	0	0	0	0.055	0.295	0	0.181	0.407
ABL2	ITGB1	9606.ENSP00000427562	9606.ENSP00000379350	0	0	0	0	0.056	0.094	0	0.360	0.406
ABL2	CDC42	9606.ENSP00000427562	9606.ENSP00000497733	0	0	0	0	0.074	0.223	0	0.311	0.462
ACAA2	UQCRC1	9606.ENSP00000285093	9606.ENSP00000203407	0.043	0	0	0	0.121	0	0	0.364	0.418
ACAA2	PGD	9606.ENSP00000285093	9606.ENSP00000270776	0	0	0	0	0.128	0.475	0	0.315	0.659
ACAA2	GAPDH	9606.ENSP00000285093	9606.ENSP00000380070	0	0	0	0	0.088	0	0	0.408	0.438
ACAA2	BCAT1	9606.ENSP00000285093	9606.ENSP00000443459	0.053	0	0	0	0.053	0.162	0	0.340	0.438
ACAA2	ANXA2	9606.ENSP00000285093	9606.ENSP00000346032	0	0	0	0	0.056	0.048	0	0.464	0.476
ACAA2	ALDH7A1	9606.ENSP00000285093	9606.ENSP00000387123	0	0	0	0	0.123	0	0.214	0.305	0.479
ACAA2	CPT1C	9606.ENSP00000285093	9606.ENSP00000376303	0	0	0	0	0.054	0	0	0.543	0.549
ACAA2	IVD	9606.ENSP00000285093	9606.ENSP00000499074	0.054	0	0	0	0.337	0.192	0.216	0.325	0.683
ACAA2	SCP2	9606.ENSP00000285093	9606.ENSP00000360569	0.057	0	0	0.580	0.326	0.204	0.248	0.425	0.742
ACAA2	HADHB	9606.ENSP00000285093	9606.ENSP00000325136	0	0	0.135	0.801	0.481	0	0.900	0.248	0.961
ACAA2	PCCB	9606.ENSP00000285093	9606.ENSP00000419027	0.079	0	0	0	0.286	0	0.914	0.410	0.962
ACAA2	HADHA	9606.ENSP00000285093	9606.ENSP00000370023	0.054	0.070	0	0	0.390	0.296	0.925	0.961	0.998
ACOT7	CSRP1	9606.ENSP00000367086	9606.ENSP00000356275	0	0	0	0	0.047	0	0	0.416	0.419
ACOT7	GAPDH	9606.ENSP00000367086	9606.ENSP00000380070	0	0	0	0	0.102	0.130	0	0.665	0.715
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0	0	0.042	0.070	0.900	0.376	0.936
ACTB	UQCRC1	9606.ENSP00000494750	9606.ENSP00000203407	0	0	0	0	0.138	0.162	0	0.262	0.420
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0	0	0	0.100	0.105	0.900	0.826	0.984
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0	0	0	0.420	0.680	0.900	0.602	0.991
ACTB	NAMPT	9606.ENSP00000494750	9606.ENSP00000222553	0	0	0	0	0.061	0	0	0.400	0.412
ACTB	WASL	9606.ENSP00000494750	9606.ENSP00000223023	0	0	0	0	0.046	0.492	0.900	0.630	0.979
ACTB	CCND1	9606.ENSP00000494750	9606.ENSP00000227507	0	0	0	0	0.062	0	0	0.807	0.811
ACTB	SPARC	9606.ENSP00000494750	9606.ENSP00000231061	0	0	0	0	0.087	0	0	0.395	0.424
ACTB	DSTN	9606.ENSP00000494750	9606.ENSP00000246069	0	0	0	0	0.122	0.873	0	0.261	0.910
ACTB	YWHAH	9606.ENSP00000494750	9606.ENSP00000248975	0	0	0.324	0	0.208	0.068	0	0.275	0.590
ACTB	ACTN4	9606.ENSP00000494750	9606.ENSP00000252699	0	0	0	0	0.124	0.249	0.900	0.621	0.971
ACTB	NOTCH2	9606.ENSP00000494750	9606.ENSP00000256646	0	0	0	0	0.053	0.103	0	0.460	0.502
ACTB	DDB2	9606.ENSP00000494750	9606.ENSP00000256996	0	0	0	0	0.042	0.065	0.400	0.272	0.556
ACTB	CDH1	9606.ENSP00000494750	9606.ENSP00000261769	0	0	0	0	0.061	0.069	0	0.824	0.833
ACTB	EPC1	9606.ENSP00000494750	9606.ENSP00000263062	0	0	0	0	0	0.477	0.900	0.085	0.947
ACTB	STAT3	9606.ENSP00000494750	9606.ENSP00000264657	0	0	0	0	0.084	0	0	0.789	0.798
ACTB	TMPO	9606.ENSP00000494750	9606.ENSP00000266732	0	0	0	0	0.048	0.337	0.400	0.169	0.643
ACTB	PXN	9606.ENSP00000494750	9606.ENSP00000267257	0	0	0	0	0.075	0.099	0	0.548	0.590
ACTB	IQGAP1	9606.ENSP00000494750	9606.ENSP00000268182	0	0	0	0	0.101	0.661	0.900	0.587	0.985
ACTB	CDH2	9606.ENSP00000494750	9606.ENSP00000269141	0	0	0	0	0	0.069	0	0.778	0.784
ACTB	TP53	9606.ENSP00000494750	9606.ENSP00000269305	0	0	0	0	0.077	0.223	0	0.845	0.879
ACTB	ERBB2	9606.ENSP00000494750	9606.ENSP00000269571	0	0	0	0	0	0.292	0	0.908	0.932
ACTB	IFNAR1	9606.ENSP00000494750	9606.ENSP00000270139	0	0	0	0	0	0	0	0.470	0.470
ACTB	ATP6V1A	9606.ENSP00000494750	9606.ENSP00000273398	0	0	0	0	0.076	0.187	0	0.327	0.451
ACTB	EGFR	9606.ENSP00000494750	9606.ENSP00000275493	0	0	0	0	0.042	0.402	0	0.741	0.839
ACTB	TNFRSF10B	9606.ENSP00000494750	9606.ENSP00000276431	0	0	0	0	0	0	0	0.540	0.540
ACTB	GJA1	9606.ENSP00000494750	9606.ENSP00000282561	0	0	0	0	0.042	0	0	0.529	0.530
ACTB	RHOC	9606.ENSP00000494750	9606.ENSP00000285735	0	0	0	0	0.336	0.070	0.500	0.389	0.786
ACTB	ITGA5	9606.ENSP00000494750	9606.ENSP00000293379	0	0	0	0	0.060	0	0.650	0.443	0.801
ACTB	CFL2	9606.ENSP00000494750	9606.ENSP00000298159	0	0	0	0	0.087	0.876	0.900	0.716	0.996
ACTB	CTNNA1	9606.ENSP00000494750	9606.ENSP00000304669	0	0	0	0	0.072	0.108	0.900	0.550	0.957
ACTB	GLUL	9606.ENSP00000494750	9606.ENSP00000307900	0	0	0	0	0.047	0	0	0.474	0.478
ACTB	TMOD3	9606.ENSP00000494750	9606.ENSP00000308753	0	0	0	0	0.139	0.582	0	0.238	0.701
ACTB	ADAM17	9606.ENSP00000494750	9606.ENSP00000309968	0	0	0	0	0	0	0	0.423	0.423
ACTB	CASP3	9606.ENSP00000494750	9606.ENSP00000311032	0	0	0	0	0.042	0.095	0.900	0.893	0.989
ACTB	RAB8B	9606.ENSP00000494750	9606.ENSP00000312734	0	0.001	0	0	0.072	0.301	0	0.154	0.404
ACTB	GNAI2	9606.ENSP00000494750	9606.ENSP00000312999	0	0	0	0	0.253	0.270	0	0.183	0.516
ACTB	ITGA3	9606.ENSP00000494750	9606.ENSP00000315190	0	0	0	0	0.046	0	0.650	0.331	0.757
ACTB	TLN1	9606.ENSP00000494750	9606.ENSP00000316029	0	0	0	0	0.074	0.053	0.900	0.603	0.960
ACTB	MAPK11	9606.ENSP00000494750	9606.ENSP00000333685	0	0	0	0	0.067	0.087	0	0.433	0.474
ACTB	PARVA	9606.ENSP00000494750	9606.ENSP00000334008	0	0	0	0	0.054	0.488	0.900	0.228	0.957
ACTB	EZR	9606.ENSP00000494750	9606.ENSP00000338934	0	0	0	0	0.087	0.126	0.900	0.814	0.983
ACTB	PARK7	9606.ENSP00000494750	9606.ENSP00000340278	0	0	0	0	0.074	0.071	0	0.412	0.450
ACTB	ACVR2B	9606.ENSP00000494750	9606.ENSP00000340361	0	0	0	0	0.073	0.070	0	0.458	0.492
ACTB	PTK2	9606.ENSP00000494750	9606.ENSP00000341189	0	0	0	0	0.042	0.058	0	0.579	0.587
ACTB	RBPJ	9606.ENSP00000494750	9606.ENSP00000345206	0	0	0	0	0.048	0.066	0	0.400	0.419
ACTB	GPT2	9606.ENSP00000494750	9606.ENSP00000345282	0	0	0	0	0	0.045	0	0.482	0.484
ACTB	ANXA2	9606.ENSP00000494750	9606.ENSP00000346032	0	0	0	0	0.137	0.234	0	0.676	0.767
ACTB	GPX4	9606.ENSP00000494750	9606.ENSP00000346103	0	0	0	0	0.072	0	0	0.556	0.570
ACTB	ANXA6	9606.ENSP00000494750	9606.ENSP00000346550	0	0	0	0	0.053	0.234	0	0.294	0.444
ACTB	FN1	9606.ENSP00000494750	9606.ENSP00000346839	0	0	0	0	0.043	0.045	0	0.886	0.886
ACTB	TJP1	9606.ENSP00000494750	9606.ENSP00000348416	0	0	0	0	0.042	0.333	0.900	0.797	0.985
ACTB	TPM1	9606.ENSP00000494750	9606.ENSP00000351022	0	0	0	0	0.130	0.192	0	0.358	0.509
ACTB	DNMT1	9606.ENSP00000494750	9606.ENSP00000352516	0	0	0	0	0.056	0.300	0	0.601	0.714
ACTB	MSN	9606.ENSP00000494750	9606.ENSP00000353408	0	0	0	0	0.132	0.141	0.900	0.712	0.975
ACTB	SREBF2	9606.ENSP00000494750	9606.ENSP00000354476	0	0	0	0	0.042	0.069	0	0.522	0.536
ACTB	CALD1	9606.ENSP00000494750	9606.ENSP00000354826	0	0	0	0	0.056	0.221	0	0.291	0.433
ACTB	PARP1	9606.ENSP00000494750	9606.ENSP00000355759	0	0	0	0	0.054	0	0	0.792	0.794
ACTB	ATF6	9606.ENSP00000494750	9606.ENSP00000356919	0	0	0	0	0	0	0	0.627	0.627
ACTB	COPA	9606.ENSP00000494750	9606.ENSP00000357048	0	0	0	0	0.049	0.070	0	0.433	0.454
ACTB	TAGLN2	9606.ENSP00000494750	9606.ENSP00000357076	0	0	0	0	0.295	0.479	0	0.375	0.751
ACTB	NES	9606.ENSP00000494750	9606.ENSP00000357206	0	0	0	0	0.042	0.091	0	0.640	0.659
ACTB	FLNA	9606.ENSP00000494750	9606.ENSP00000358866	0	0	0	0	0.144	0.205	0	0.661	0.750
ACTB	YWHAB	9606.ENSP00000494750	9606.ENSP00000361930	0	0	0.264	0	0.183	0.068	0	0.856	0.908
ACTB	SRC	9606.ENSP00000494750	9606.ENSP00000362680	0	0	0	0	0.085	0.215	0	0.710	0.774
ACTB	GSN	9606.ENSP00000494750	9606.ENSP00000362924	0	0	0	0	0.063	0.650	0	0.658	0.878
ACTB	RPA2	9606.ENSP00000494750	9606.ENSP00000363017	0	0	0	0	0.066	0.246	0	0.432	0.565
ACTB	PHF20	9606.ENSP00000494750	9606.ENSP00000363124	0	0	0	0	0	0.071	0.720	0.165	0.764
ACTB	BCL2L1	9606.ENSP00000494750	9606.ENSP00000365230	0	0	0	0	0.061	0.082	0	0.770	0.784
ACTB	ANXA1	9606.ENSP00000494750	9606.ENSP00000366109	0	0	0	0	0.074	0.234	0	0.610	0.700
ACTB	CHD3	9606.ENSP00000494750	9606.ENSP00000369716	0	0	0	0	0	0.345	0	0.155	0.423
ACTB	HADHA	9606.ENSP00000494750	9606.ENSP00000370023	0	0	0	0	0.056	0.204	0	0.269	0.404
ACTB	ITSN1	9606.ENSP00000494750	9606.ENSP00000370719	0	0	0	0	0	0.046	0.500	0.246	0.608
ACTB	FSCN1	9606.ENSP00000494750	9606.ENSP00000371798	0	0	0	0	0.081	0.100	0	0.402	0.462
ACTB	G6PD	9606.ENSP00000494750	9606.ENSP00000377192	0	0	0	0	0.147	0.087	0	0.446	0.532
ACTB	KEAP1	9606.ENSP00000494750	9606.ENSP00000377245	0	0	0	0	0.049	0.078	0	0.612	0.630
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0	0	0	0.134	0.402	0.900	0.760	0.985
ACTB	YWHAZ	9606.ENSP00000494750	9606.ENSP00000379287	0	0	0.256	0	0.377	0.155	0	0.772	0.899
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0	0	0.084	0.077	0.900	0.835	0.984
ACTB	GAPDH	9606.ENSP00000494750	9606.ENSP00000380070	0	0	0	0	0.605	0.230	0	0.925	0.975
ACTB	PARVB	9606.ENSP00000494750	9606.ENSP00000384515	0	0	0	0	0.047	0	0.900	0.185	0.915
ACTB	CDKN1A	9606.ENSP00000494750	9606.ENSP00000384849	0	0	0	0	0.067	0.073	0	0.691	0.709
ACTB	ALDH7A1	9606.ENSP00000494750	9606.ENSP00000387123	0	0	0	0	0.042	0.157	0	0.332	0.413
ACTB	FGF13	9606.ENSP00000494750	9606.ENSP00000396198	0	0	0	0	0	0	0	0.544	0.544
ACTB	ACTL6A	9606.ENSP00000494750	9606.ENSP00000397552	0	0	0	0.869	0.053	0.939	0.900	0.980	0.999
ACTB	RHOA	9606.ENSP00000494750	9606.ENSP00000400175	0	0	0	0	0.426	0.070	0.900	0.646	0.978
ACTB	SHC1	9606.ENSP00000494750	9606.ENSP00000401303	0	0	0	0	0.095	0.174	0	0.428	0.535
ACTB	LAMP2	9606.ENSP00000494750	9606.ENSP00000408411	0	0	0	0	0.060	0	0	0.544	0.553
ACTB	DBNL	9606.ENSP00000494750	9606.ENSP00000417653	0	0	0	0	0.140	0.311	0	0.206	0.489
ACTB	MYO10	9606.ENSP00000494750	9606.ENSP00000421280	0	0	0	0	0	0.088	0.650	0.170	0.712
ACTB	GPX8	9606.ENSP00000494750	9606.ENSP00000423822	0	0	0	0	0	0	0	0.594	0.594
ACTB	WDR1	9606.ENSP00000494750	9606.ENSP00000427687	0	0	0	0	0.374	0.393	0	0.296	0.709
ACTB	GRIA1	9606.ENSP00000494750	9606.ENSP00000428994	0	0	0	0	0	0	0	0.545	0.545
ACTB	CFL1	9606.ENSP00000494750	9606.ENSP00000432660	0	0	0	0	0.403	0.987	0.900	0.834	0.999
ACTB	EIF4G2	9606.ENSP00000494750	9606.ENSP00000433664	0	0	0	0	0.342	0.062	0	0.229	0.482
ACTB	H2AX	9606.ENSP00000494750	9606.ENSP00000434024	0	0	0	0	0.073	0.389	0	0.598	0.753
ACTB	MYL6	9606.ENSP00000494750	9606.ENSP00000446955	0	0	0	0	0.286	0.314	0.900	0.529	0.973
ACTB	AKT1	9606.ENSP00000494750	9606.ENSP00000451828	0	0	0	0	0.105	0.313	0	0.885	0.923
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0	0.047	0.987	0.778	0.983	0.900	0.795	0.999
ACTB	ARHGDIA	9606.ENSP00000494750	9606.ENSP00000463939	0	0	0	0	0.126	0.073	0	0.418	0.488
ACTB	MYC	9606.ENSP00000494750	9606.ENSP00000478887	0	0	0	0	0.065	0.421	0	0.817	0.892
ACTB	YAP1	9606.ENSP00000494750	9606.ENSP00000478927	0	0	0	0	0.042	0.088	0	0.489	0.515
ACTB	CLTC	9606.ENSP00000494750	9606.ENSP00000479606	0	0	0	0	0.075	0.113	0	0.656	0.693
ACTB	NEFL	9606.ENSP00000494750	9606.ENSP00000482169	0	0	0	0	0	0.103	0	0.403	0.441
ACTB	PHGDH	9606.ENSP00000494750	9606.ENSP00000493382	0	0	0	0	0	0.292	0	0.552	0.669
ACTB	KITLG	9606.ENSP00000494750	9606.ENSP00000495951	0	0	0	0	0	0	0	0.480	0.480
ACTB	DEK	9606.ENSP00000494750	9606.ENSP00000498653	0	0	0	0	0.060	0	0.500	0.150	0.565
ACTB	DLG4	9606.ENSP00000494750	9606.ENSP00000497806	0	0	0	0	0	0.076	0	0.660	0.673
ACTB	MAP1LC3B	9606.ENSP00000494750	9606.ENSP00000498476	0	0	0	0	0.084	0.177	0	0.795	0.832
ACTB	CTNNB1	9606.ENSP00000494750	9606.ENSP00000495360	0	0	0	0	0.077	0.294	0	0.802	0.860
ACTB	MYO1C	9606.ENSP00000494750	9606.ENSP00000496954	0	0	0	0	0.063	0.186	0.900	0.659	0.970
ACTB	CDC42	9606.ENSP00000494750	9606.ENSP00000497733	0	0	0	0	0.415	0.070	0.900	0.596	0.975
ACTG1	ITGB4	9606.ENSP00000458162	9606.ENSP00000200181	0	0	0	0	0.042	0.070	0.900	0.163	0.915
ACTG1	VCL	9606.ENSP00000458162	9606.ENSP00000211998	0	0	0	0	0.096	0.230	0.900	0.875	0.990
ACTG1	MYH9	9606.ENSP00000458162	9606.ENSP00000216181	0	0	0	0	0.177	0.337	0.900	0.645	0.978
ACTG1	WASL	9606.ENSP00000458162	9606.ENSP00000223023	0	0	0	0	0.046	0.705	0.900	0.320	0.978
ACTG1	DSTN	9606.ENSP00000458162	9606.ENSP00000246069	0	0	0	0	0.147	0.866	0	0.286	0.911
ACTG1	YWHAH	9606.ENSP00000458162	9606.ENSP00000248975	0	0	0.323	0	0.126	0.068	0	0.208	0.505
ACTG1	ACTN4	9606.ENSP00000458162	9606.ENSP00000252699	0	0	0	0	0.127	0.125	0.900	0.665	0.970
ACTG1	SPECC1	9606.ENSP00000458162	9606.ENSP00000261503	0	0	0	0	0.049	0	0.360	0.110	0.411
ACTG1	CDH1	9606.ENSP00000458162	9606.ENSP00000261769	0	0	0	0	0.061	0.312	0	0.226	0.457
ACTG1	IQGAP1	9606.ENSP00000458162	9606.ENSP00000268182	0	0	0	0	0.067	0.247	0.900	0.292	0.943
ACTG1	RHOC	9606.ENSP00000458162	9606.ENSP00000285735	0	0	0	0	0.144	0.070	0.500	0.156	0.619
ACTG1	ITGA5	9606.ENSP00000458162	9606.ENSP00000293379	0	0	0	0	0.053	0	0.650	0.212	0.716
ACTG1	CFL2	9606.ENSP00000458162	9606.ENSP00000298159	0	0	0	0	0.089	0.854	0.900	0.779	0.996
ACTG1	RAC3	9606.ENSP00000458162	9606.ENSP00000304283	0	0	0	0	0.106	0.070	0.360	0.100	0.457
ACTG1	CTNNA1	9606.ENSP00000458162	9606.ENSP00000304669	0	0	0	0	0.062	0.050	0.900	0.539	0.953
ACTG1	TMOD3	9606.ENSP00000458162	9606.ENSP00000308753	0	0	0	0	0.058	0	0	0.593	0.600
ACTG1	CASP3	9606.ENSP00000458162	9606.ENSP00000311032	0	0	0	0	0.049	0.095	0.900	0.209	0.922
ACTG1	ITGA3	9606.ENSP00000458162	9606.ENSP00000315190	0	0	0	0	0.048	0	0.650	0.113	0.679
ACTG1	TLN1	9606.ENSP00000458162	9606.ENSP00000316029	0	0	0	0	0.056	0.053	0.900	0.767	0.976
ACTG1	PARVA	9606.ENSP00000458162	9606.ENSP00000334008	0	0	0	0	0.063	0	0.900	0.203	0.918
ACTG1	EZR	9606.ENSP00000458162	9606.ENSP00000338934	0	0	0	0	0.087	0.054	0.900	0.619	0.962
ACTG1	ANXA2	9606.ENSP00000458162	9606.ENSP00000346032	0	0	0	0	0.202	0.050	0	0.570	0.646
ACTG1	FN1	9606.ENSP00000458162	9606.ENSP00000346839	0	0	0	0	0.049	0.067	0	0.760	0.768
ACTG1	PDLIM7	9606.ENSP00000458162	9606.ENSP00000348099	0	0	0	0	0.083	0.214	0.360	0.134	0.547
ACTG1	TJP1	9606.ENSP00000458162	9606.ENSP00000348416	0	0	0	0	0.047	0.045	0.900	0.158	0.913
ACTG1	TPM1	9606.ENSP00000458162	9606.ENSP00000351022	0	0	0	0	0.119	0.192	0	0.374	0.516
ACTG1	MSN	9606.ENSP00000458162	9606.ENSP00000353408	0	0	0	0	0.093	0.054	0.900	0.581	0.959
ACTG1	TAGLN2	9606.ENSP00000458162	9606.ENSP00000357076	0	0	0	0	0.158	0.140	0	0.290	0.441
ACTG1	S100A10	9606.ENSP00000458162	9606.ENSP00000357801	0	0	0	0	0.075	0.051	0	0.462	0.486
ACTG1	FLNA	9606.ENSP00000458162	9606.ENSP00000358866	0	0	0	0	0.110	0.194	0	0.652	0.729
ACTG1	YWHAB	9606.ENSP00000458162	9606.ENSP00000361930	0	0	0.263	0	0.188	0.068	0	0.250	0.526
ACTG1	MARCKSL1	9606.ENSP00000458162	9606.ENSP00000362638	0	0	0	0	0.072	0.053	0	0.398	0.424
ACTG1	GSN	9606.ENSP00000458162	9606.ENSP00000362924	0	0	0	0	0.049	0.237	0	0.681	0.749
ACTG1	ANXA1	9606.ENSP00000458162	9606.ENSP00000366109	0	0	0	0	0.075	0.298	0	0.565	0.693
ACTG1	ITSN1	9606.ENSP00000458162	9606.ENSP00000370719	0	0	0	0	0	0.046	0.500	0.132	0.549
ACTG1	FSCN1	9606.ENSP00000458162	9606.ENSP00000371798	0	0	0	0	0.093	0.100	0	0.326	0.402
