#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04512	ECM-receptor interaction	42	88	2.24	18.18	1.53e-81	9606.ENSP00000200181,9606.ENSP00000222399,9606.ENSP00000222573,9606.ENSP00000225964,9606.ENSP00000230538,9606.ENSP00000252999,9606.ENSP00000258341,9606.ENSP00000261023,9606.ENSP00000264144,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000307156,9606.ENSP00000315190,9606.ENSP00000324532,9606.ENSP00000327290,9606.ENSP00000331902,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000355180,9606.ENSP00000355751,9606.ENSP00000358310,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000374309,9606.ENSP00000375778,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380227,9606.ENSP00000386896,9606.ENSP00000400365,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,LAMB1,ITGB8,COL1A1,LAMA4,LAMA5,LAMC1,ITGAV,LAMC2,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,LAMB2,ITGA3,LAMA3,ITGA11,COL4A5,COL4A2,LAMC3,COL6A1,THBS2,ITGA10,COL4A1,ITGA8,LAMA1,LAMB3,COL4A6,ITGB1,COL4A3,COL4A4,ITGA4,ITGA6,LAMA2,ITGA7,ITGB3
hsa04510	Focal adhesion	46	195	1.93	13.14	1.62e-79	9606.ENSP00000200181,9606.ENSP00000222399,9606.ENSP00000222573,9606.ENSP00000225964,9606.ENSP00000230538,9606.ENSP00000252999,9606.ENSP00000258341,9606.ENSP00000261023,9606.ENSP00000264144,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000307156,9606.ENSP00000315190,9606.ENSP00000324532,9606.ENSP00000327290,9606.ENSP00000331902,9606.ENSP00000334008,9606.ENSP00000341189,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000355180,9606.ENSP00000355751,9606.ENSP00000358310,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000374309,9606.ENSP00000375778,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380227,9606.ENSP00000384515,9606.ENSP00000386896,9606.ENSP00000400365,9606.ENSP00000420213,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,LAMB1,ITGB8,COL1A1,LAMA4,LAMA5,LAMC1,ITGAV,LAMC2,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,LAMB2,ITGA3,LAMA3,ITGA11,COL4A5,PARVA,PTK2,COL4A2,LAMC3,COL6A1,THBS2,ITGA10,COL4A1,ITGA8,LAMA1,LAMB3,COL4A6,ITGB1,COL4A3,COL4A4,ITGA4,PARVB,ITGA6,LAMA2,FLNB,ITGA7,ITGB3
hsa05165	Human papillomavirus infection	43	324	1.68	8.58	2.68e-63	9606.ENSP00000200181,9606.ENSP00000222399,9606.ENSP00000222573,9606.ENSP00000225964,9606.ENSP00000230538,9606.ENSP00000252999,9606.ENSP00000258341,9606.ENSP00000261023,9606.ENSP00000264144,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000307156,9606.ENSP00000315190,9606.ENSP00000324532,9606.ENSP00000327290,9606.ENSP00000331902,9606.ENSP00000341189,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000355180,9606.ENSP00000355751,9606.ENSP00000358310,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000374309,9606.ENSP00000375778,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380227,9606.ENSP00000386896,9606.ENSP00000400365,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,LAMB1,ITGB8,COL1A1,LAMA4,LAMA5,LAMC1,ITGAV,LAMC2,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,LAMB2,ITGA3,LAMA3,ITGA11,COL4A5,PTK2,COL4A2,LAMC3,COL6A1,THBS2,ITGA10,COL4A1,ITGA8,LAMA1,LAMB3,COL4A6,ITGB1,COL4A3,COL4A4,ITGA4,ITGA6,LAMA2,ITGA7,ITGB3
hsa04151	PI3K-Akt signaling pathway	43	349	1.65	8.13	4.00e-62	9606.ENSP00000200181,9606.ENSP00000222399,9606.ENSP00000222573,9606.ENSP00000225964,9606.ENSP00000230538,9606.ENSP00000252999,9606.ENSP00000258341,9606.ENSP00000261023,9606.ENSP00000264144,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000307156,9606.ENSP00000315190,9606.ENSP00000324532,9606.ENSP00000327290,9606.ENSP00000331902,9606.ENSP00000341189,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000355180,9606.ENSP00000355751,9606.ENSP00000358310,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000374309,9606.ENSP00000375778,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000380227,9606.ENSP00000386896,9606.ENSP00000400365,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,LAMB1,ITGB8,COL1A1,LAMA4,LAMA5,LAMC1,ITGAV,LAMC2,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,LAMB2,ITGA3,LAMA3,ITGA11,COL4A5,PTK2,COL4A2,LAMC3,COL6A1,THBS2,ITGA10,COL4A1,ITGA8,LAMA1,LAMB3,COL4A6,ITGB1,COL4A3,COL4A4,ITGA4,ITGA6,LAMA2,ITGA7,ITGB3
hsa05222	Small cell lung cancer	23	92	1.96	8.5	2.40e-36	9606.ENSP00000222399,9606.ENSP00000230538,9606.ENSP00000252999,9606.ENSP00000258341,9606.ENSP00000261023,9606.ENSP00000264144,9606.ENSP00000296585,9606.ENSP00000307156,9606.ENSP00000315190,9606.ENSP00000324532,9606.ENSP00000331902,9606.ENSP00000341189,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000364979,9606.ENSP00000374309,9606.ENSP00000375778,9606.ENSP00000378340,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000386896,9606.ENSP00000400365	LAMB1,LAMA4,LAMA5,LAMC1,ITGAV,LAMC2,ITGA2,LAMB2,ITGA3,LAMA3,COL4A5,PTK2,COL4A2,LAMC3,COL4A1,LAMA1,LAMB3,COL4A6,ITGB1,COL4A3,COL4A4,ITGA6,LAMA2
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	21	77	2.0	8.27	1.05e-33	9606.ENSP00000200181,9606.ENSP00000222573,9606.ENSP00000261023,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000315190,9606.ENSP00000327290,9606.ENSP00000358310,9606.ENSP00000367316,9606.ENSP00000374309,9606.ENSP00000379350,9606.ENSP00000380227,9606.ENSP00000386896,9606.ENSP00000400365,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,ITGB8,ITGAV,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,ITGB5,ITGA2,ITGA3,ITGA11,ITGA10,ITGA8,LAMA1,ITGB1,ITGA4,ITGA6,LAMA2,ITGA7,ITGB3
hsa05410	Hypertrophic cardiomyopathy	21	88	1.94	7.77	1.06e-32	9606.ENSP00000200181,9606.ENSP00000222573,9606.ENSP00000261023,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000315190,9606.ENSP00000327290,9606.ENSP00000358310,9606.ENSP00000367316,9606.ENSP00000374309,9606.ENSP00000379350,9606.ENSP00000380227,9606.ENSP00000386896,9606.ENSP00000400365,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,ITGB8,ITGAV,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,ITGB5,ITGA2,ITGA3,ITGA11,ITGA10,ITGA8,LAMA1,ITGB1,ITGA4,ITGA6,LAMA2,ITGA7,ITGB3
hsa05414	Dilated cardiomyopathy	21	94	1.91	7.54	3.16e-32	9606.ENSP00000200181,9606.ENSP00000222573,9606.ENSP00000261023,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000315190,9606.ENSP00000327290,9606.ENSP00000358310,9606.ENSP00000367316,9606.ENSP00000374309,9606.ENSP00000379350,9606.ENSP00000380227,9606.ENSP00000386896,9606.ENSP00000400365,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,ITGB8,ITGAV,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,ITGB5,ITGA2,ITGA3,ITGA11,ITGA10,ITGA8,LAMA1,ITGB1,ITGA4,ITGA6,LAMA2,ITGA7,ITGB3
hsa05146	Amoebiasis	21	101	1.88	7.28	1.08e-31	9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000230538,9606.ENSP00000252999,9606.ENSP00000258341,9606.ENSP00000264144,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000307156,9606.ENSP00000324532,9606.ENSP00000331902,9606.ENSP00000341189,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000364979,9606.ENSP00000374309,9606.ENSP00000375778,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000400365	LAMB1,COL1A1,LAMA4,LAMA5,LAMC1,LAMC2,COL1A2,COL3A1,LAMB2,LAMA3,COL4A5,PTK2,COL4A2,LAMC3,COL4A1,LAMA1,LAMB3,COL4A6,COL4A3,COL4A4,LAMA2
hsa04810	Regulation of actin cytoskeleton	20	209	1.54	4.52	6.32e-24	9606.ENSP00000200181,9606.ENSP00000222573,9606.ENSP00000261023,9606.ENSP00000264741,9606.ENSP00000267082,9606.ENSP00000282588,9606.ENSP00000283249,9606.ENSP00000293379,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000315190,9606.ENSP00000327290,9606.ENSP00000341189,9606.ENSP00000358310,9606.ENSP00000367316,9606.ENSP00000379350,9606.ENSP00000380227,9606.ENSP00000386896,9606.ENSP00000452120,9606.ENSP00000452786	ITGB4,ITGB8,ITGAV,ITGA9,ITGB7,ITGA1,ITGB6,ITGA5,ITGB5,ITGA2,ITGA3,ITGA11,PTK2,ITGA10,ITGA8,ITGB1,ITGA4,ITGA6,ITGA7,ITGB3
