#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-3214815	HDACs deacetylate histones	24	59	2.18	10.74	3.80e-41	9606.ENSP00000262241,9606.ENSP00000264183,9606.ENSP00000278823,9606.ENSP00000296504,9606.ENSP00000297109,9606.ENSP00000302967,9606.ENSP00000311816,9606.ENSP00000328269,9606.ENSP00000333633,9606.ENSP00000355656,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000383042,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000396052,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542,9606.ENSP00000443988,9606.ENSP00000481842	RCOR1,ARID4B,MTA2,SAP30,SAP30L,HDAC3,REST,HMG20B,MTA1,H2AW,GATAD2B,RBBP4,HDAC1,RBBP7,CHD3,KDM1A,GATAD2A,MTA3,BRMS1,MBD3,HDAC2,CHD4,SUDS3,SAP18
HSA-8943724	Regulation of PTEN gene transcription	23	60	2.15	10.16	4.97e-39	9606.ENSP00000217086,9606.ENSP00000257118,9606.ENSP00000262241,9606.ENSP00000269397,9606.ENSP00000278823,9606.ENSP00000302967,9606.ENSP00000311816,9606.ENSP00000318094,9606.ENSP00000333633,9606.ENSP00000338186,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000383042,9606.ENSP00000384490,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000437659,9606.ENSP00000440542	SALL4,PHC2,RCOR1,CBX4,MTA2,HDAC3,REST,SCMH1,MTA1,EED,GATAD2B,RBBP4,HDAC1,RBBP7,CHD3,KDM1A,CBX6,GATAD2A,MTA3,MBD3,HDAC2,PHC1,CHD4
HSA-3247509	Chromatin modifying enzymes	27	238	1.62	5.98	3.94e-34	9606.ENSP00000262241,9606.ENSP00000264183,9606.ENSP00000278823,9606.ENSP00000296504,9606.ENSP00000297109,9606.ENSP00000302967,9606.ENSP00000311816,9606.ENSP00000328269,9606.ENSP00000333633,9606.ENSP00000338186,9606.ENSP00000355656,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000367203,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000383042,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000394417,9606.ENSP00000396052,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542,9606.ENSP00000443988,9606.ENSP00000481842	RCOR1,ARID4B,MTA2,SAP30,SAP30L,HDAC3,REST,HMG20B,MTA1,EED,H2AW,GATAD2B,RBBP4,HDAC1,KDM6A,RBBP7,CHD3,KDM1A,GATAD2A,MTA3,MORF4L2,BRMS1,MBD3,HDAC2,CHD4,SUDS3,SAP18
HSA-9679191	Potential therapeutics for SARS	22	101	1.91	7.63	7.42e-33	9606.ENSP00000262241,9606.ENSP00000264183,9606.ENSP00000278823,9606.ENSP00000296504,9606.ENSP00000297109,9606.ENSP00000311816,9606.ENSP00000328269,9606.ENSP00000333633,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000383042,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000396052,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542,9606.ENSP00000443988,9606.ENSP00000481842	RCOR1,ARID4B,MTA2,SAP30,SAP30L,REST,HMG20B,MTA1,GATAD2B,RBBP4,HDAC1,RBBP7,CHD3,KDM1A,GATAD2A,MTA3,BRMS1,MBD3,HDAC2,CHD4,SUDS3,SAP18
HSA-212165	Epigenetic regulation of gene expression	22	116	1.85	7.12	8.20e-32	9606.ENSP00000256429,9606.ENSP00000264183,9606.ENSP00000278823,9606.ENSP00000296504,9606.ENSP00000297109,9606.ENSP00000333633,9606.ENSP00000333920,9606.ENSP00000338186,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369131,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000378402,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542,9606.ENSP00000443988,9606.ENSP00000481842	MBD2,ARID4B,MTA2,SAP30,SAP30L,MTA1,TTF1,EED,GATAD2B,RBBP4,HDAC1,SIN3B,RBBP7,CHD3,SIN3A,GATAD2A,MTA3,MBD3,HDAC2,CHD4,SUDS3,SAP18
HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	13	45	2.03	5.59	4.54e-20	9606.ENSP00000278823,9606.ENSP00000333633,9606.ENSP00000333920,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542	MTA2,MTA1,TTF1,GATAD2B,RBBP4,HDAC1,RBBP7,CHD3,GATAD2A,MTA3,MBD3,HDAC2,CHD4
HSA-73762	RNA Polymerase I Transcription Initiation	13	46	2.02	5.55	5.33e-20	9606.ENSP00000278823,9606.ENSP00000333633,9606.ENSP00000333920,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542	MTA2,MTA1,TTF1,GATAD2B,RBBP4,HDAC1,RBBP7,CHD3,GATAD2A,MTA3,MBD3,HDAC2,CHD4
HSA-73854	RNA Polymerase I Promoter Clearance	14	78	1.82	4.88	2.93e-19	9606.ENSP00000256429,9606.ENSP00000278823,9606.ENSP00000333633,9606.ENSP00000333920,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542	MBD2,MTA2,MTA1,TTF1,GATAD2B,RBBP4,HDAC1,RBBP7,CHD3,GATAD2A,MTA3,MBD3,HDAC2,CHD4
HSA-74160	Gene expression (Transcription)	30	1476	0.88	1.61	3.77e-18	9606.ENSP00000256429,9606.ENSP00000257118,9606.ENSP00000264183,9606.ENSP00000269397,9606.ENSP00000278823,9606.ENSP00000296504,9606.ENSP00000297109,9606.ENSP00000302967,9606.ENSP00000311816,9606.ENSP00000318094,9606.ENSP00000333633,9606.ENSP00000333920,9606.ENSP00000338186,9606.ENSP00000354794,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369131,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000378402,9606.ENSP00000384490,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000437659,9606.ENSP00000440542,9606.ENSP00000443988,9606.ENSP00000481842	MBD2,PHC2,ARID4B,CBX4,MTA2,SAP30,SAP30L,HDAC3,REST,SCMH1,MTA1,TTF1,EED,ZNF521,GATAD2B,RBBP4,HDAC1,SIN3B,RBBP7,CHD3,SIN3A,CBX6,GATAD2A,MTA3,MBD3,HDAC2,PHC1,CHD4,SUDS3,SAP18
HSA-5663205	Infectious disease	25	917	1.01	1.95	2.27e-17	9606.ENSP00000262241,9606.ENSP00000264183,9606.ENSP00000278823,9606.ENSP00000296504,9606.ENSP00000297109,9606.ENSP00000302967,9606.ENSP00000311816,9606.ENSP00000328269,9606.ENSP00000333633,9606.ENSP00000338186,9606.ENSP00000355656,9606.ENSP00000357644,9606.ENSP00000362592,9606.ENSP00000362649,9606.ENSP00000369424,9606.ENSP00000369716,9606.ENSP00000383042,9606.ENSP00000384899,9606.ENSP00000385823,9606.ENSP00000396052,9606.ENSP00000412302,9606.ENSP00000430432,9606.ENSP00000440542,9606.ENSP00000443988,9606.ENSP00000481842	RCOR1,ARID4B,MTA2,SAP30,SAP30L,HDAC3,REST,HMG20B,MTA1,EED,H2AW,GATAD2B,RBBP4,HDAC1,RBBP7,CHD3,KDM1A,GATAD2A,MTA3,BRMS1,MBD3,HDAC2,CHD4,SUDS3,SAP18
