#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARID4B	BRMS1L	9606.ENSP00000264183	9606.ENSP00000216807	0	0	0	0	0.055	0.240	0.540	0.869	0.951
ARID4B	MBD2	9606.ENSP00000264183	9606.ENSP00000256429	0	0	0	0	0.042	0.219	0.500	0.048	0.596
ARID4B	RCOR1	9606.ENSP00000264183	9606.ENSP00000262241	0	0	0	0	0.075	0.071	0.500	0.137	0.580
ARID4B	CHD5	9606.ENSP00000264183	9606.ENSP00000262450	0	0	0	0	0	0.396	0	0.102	0.434
ARID4B	KDM6A	9606.ENSP00000264183	9606.ENSP00000367203	0	0	0	0	0.183	0.096	0	0.298	0.436
ARID4B	H2AC12	9606.ENSP00000264183	9606.ENSP00000366679	0	0	0	0	0	0.184	0.400	0	0.489
ARID4B	H2AW	9606.ENSP00000264183	9606.ENSP00000355656	0	0	0	0	0.048	0.184	0.400	0	0.493
ARID4B	PHF20L1	9606.ENSP00000264183	9606.ENSP00000378784	0	0	0	0	0.414	0.074	0	0.179	0.516
ARID4B	SAP25	9606.ENSP00000264183	9606.ENSP00000481773	0	0	0	0	0	0	0	0.530	0.530
ARID4B	TTF1	9606.ENSP00000264183	9606.ENSP00000333920	0	0	0	0	0.052	0	0.500	0.101	0.537
ARID4B	REST	9606.ENSP00000264183	9606.ENSP00000311816	0	0	0	0	0.074	0.092	0.500	0.069	0.556
ARID4B	KDM1A	9606.ENSP00000264183	9606.ENSP00000383042	0	0	0	0	0.060	0	0.500	0.156	0.569
ARID4B	HMG20B	9606.ENSP00000264183	9606.ENSP00000328269	0	0	0	0	0.055	0.109	0.500	0.119	0.579
ARID4B	MBD3	9606.ENSP00000264183	9606.ENSP00000412302	0	0	0	0	0.042	0.219	0.500	0.048	0.596
ARID4B	MTA2	9606.ENSP00000264183	9606.ENSP00000278823	0	0	0	0	0.042	0.195	0.500	0.081	0.598
ARID4B	GATAD2B	9606.ENSP00000264183	9606.ENSP00000357644	0	0	0	0	0.087	0.195	0.500	0.090	0.620
ARID4B	MTA3	9606.ENSP00000264183	9606.ENSP00000385823	0	0	0	0	0	0.195	0.500	0.137	0.622
ARID4B	GATAD2A	9606.ENSP00000264183	9606.ENSP00000384899	0	0	0	0	0.042	0.195	0.500	0.137	0.622
ARID4B	CHD4	9606.ENSP00000264183	9606.ENSP00000440542	0	0	0	0	0.055	0.141	0.500	0.249	0.654
ARID4B	HDAC3	9606.ENSP00000264183	9606.ENSP00000302967	0	0	0	0	0.042	0.415	0	0.459	0.670
ARID4B	MTA1	9606.ENSP00000264183	9606.ENSP00000333633	0	0	0	0	0	0.195	0.500	0.452	0.760
ARID4B	CHD3	9606.ENSP00000264183	9606.ENSP00000369716	0	0	0	0	0.042	0.278	0.500	0.426	0.775
ARID4B	SAP30L	9606.ENSP00000264183	9606.ENSP00000297109	0	0	0	0	0.049	0	0.800	0.369	0.869
ARID4B	BRMS1	9606.ENSP00000264183	9606.ENSP00000396052	0	0	0	0	0.055	0.095	0.540	0.842	0.929
ARID4B	SINHCAF	9606.ENSP00000264183	9606.ENSP00000337477	0	0	0	0	0.060	0.718	0.540	0.605	0.945
ARID4B	SAP18	9606.ENSP00000264183	9606.ENSP00000481842	0	0	0	0	0.156	0	0.800	0.771	0.957
ARID4B	RBBP7	9606.ENSP00000264183	9606.ENSP00000369424	0	0	0	0	0.112	0.585	0.800	0.647	0.970
ARID4B	RBBP4	9606.ENSP00000264183	9606.ENSP00000362592	0	0	0	0	0.112	0.708	0.800	0.785	0.987
ARID4B	HDAC2	9606.ENSP00000264183	9606.ENSP00000430432	0	0	0	0	0.049	0.679	0.540	0.930	0.988
ARID4B	HDAC1	9606.ENSP00000264183	9606.ENSP00000362649	0	0	0	0	0.042	0.789	0.540	0.912	0.990
ARID4B	SIN3B	9606.ENSP00000264183	9606.ENSP00000369131	0	0	0	0	0.042	0.899	0.540	0.865	0.993
ARID4B	SUDS3	9606.ENSP00000264183	9606.ENSP00000443988	0	0	0	0	0.073	0.461	0.800	0.981	0.997
ARID4B	SAP30	9606.ENSP00000264183	9606.ENSP00000296504	0	0	0	0	0	0.795	0.800	0.938	0.997
ARID4B	SIN3A	9606.ENSP00000264183	9606.ENSP00000378402	0	0	0	0	0.056	0.917	0.540	0.937	0.997
BCL11A	SALL4	9606.ENSP00000496168	9606.ENSP00000217086	0	0	0	0.552	0.058	0.067	0	0.428	0.453
BCL11A	MTA2	9606.ENSP00000496168	9606.ENSP00000278823	0	0	0	0	0	0.612	0	0.444	0.775
