#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04070	Phosphatidylinositol signaling system	27	94	1.93	9.04	5.34e-41	9606.ENSP00000180173,9606.ENSP00000222254,9606.ENSP00000255882,9606.ENSP00000262741,9606.ENSP00000264864,9606.ENSP00000265382,9606.ENSP00000285419,9606.ENSP00000296003,9606.ENSP00000325285,9606.ENSP00000345752,9606.ENSP00000356155,9606.ENSP00000357883,9606.ENSP00000359665,9606.ENSP00000360431,9606.ENSP00000362115,9606.ENSP00000363985,9606.ENSP00000366563,9606.ENSP00000371221,9606.ENSP00000384651,9606.ENSP00000388631,9606.ENSP00000428056,9606.ENSP00000445381,9606.ENSP00000466363,9606.ENSP00000479636,9606.ENSP00000482457,9606.ENSP00000497527,9606.ENSP00000501150	MTMR7,PIK3R2,PI4KA,PIK3R3,PI4K2B,PIP5K1B,PIP4P2,MTMR14,MTMR4,MTMR2,PIK3C2B,PIP5K1A,PI4K2A,PLCE1,INPP5B,MTMR8,PIK3CD,MTMR6,MTMR3,PLCD4,PIK3R1,PIK3C2G,PIP5K1C,PLCD3,PLCG2,INPP5F,PIK3CB
hsa00562	Inositol phosphate metabolism	23	72	1.98	8.44	1.35e-35	9606.ENSP00000180173,9606.ENSP00000255882,9606.ENSP00000264864,9606.ENSP00000265382,9606.ENSP00000296003,9606.ENSP00000325285,9606.ENSP00000345752,9606.ENSP00000356155,9606.ENSP00000357883,9606.ENSP00000359665,9606.ENSP00000360431,9606.ENSP00000362115,9606.ENSP00000363985,9606.ENSP00000366563,9606.ENSP00000371221,9606.ENSP00000384651,9606.ENSP00000388631,9606.ENSP00000445381,9606.ENSP00000466363,9606.ENSP00000479636,9606.ENSP00000482457,9606.ENSP00000497527,9606.ENSP00000501150	MTMR7,PI4KA,PI4K2B,PIP5K1B,MTMR14,MTMR4,MTMR2,PIK3C2B,PIP5K1A,PI4K2A,PLCE1,INPP5B,MTMR8,PIK3CD,MTMR6,MTMR3,PLCD4,PIK3C2G,PIP5K1C,PLCD3,PLCG2,INPP5F,PIK3CB
hsa04014	Ras signaling pathway	21	225	1.44	4.0	2.54e-22	9606.ENSP00000222254,9606.ENSP00000248564,9606.ENSP00000248572,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000278568,9606.ENSP00000289104,9606.ENSP00000300873,9606.ENSP00000304283,9606.ENSP00000314067,9606.ENSP00000353864,9606.ENSP00000359675,9606.ENSP00000360021,9606.ENSP00000360431,9606.ENSP00000363411,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000398629,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,GNG11,GNGT1,RAC2,PIK3R3,PAK1,MRAS,GNG8,RAC3,PAK2,PAK3,GNG5,GNG12,PLCE1,GNG10,PIK3CD,MAPK9,GNG4,PIK3R1,PLCG2,PIK3CB
hsa04062	Chemokine signaling pathway	20	186	1.51	4.25	2.54e-22	9606.ENSP00000222254,9606.ENSP00000248564,9606.ENSP00000248572,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000278568,9606.ENSP00000300873,9606.ENSP00000304283,9606.ENSP00000359073,9606.ENSP00000359675,9606.ENSP00000360021,9606.ENSP00000360916,9606.ENSP00000361009,9606.ENSP00000363411,9606.ENSP00000366563,9606.ENSP00000398629,9606.ENSP00000428056,9606.ENSP00000480157,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,GNG11,GNGT1,RAC2,PIK3R3,PAK1,GNG8,RAC3,VAV3,GNG5,GNG12,VAV2,PREX1,GNG10,PIK3CD,GNG4,PIK3R1,PIK3R6,PLCG2,PIK3CB
hsa04510	Focal adhesion	20	195	1.49	4.15	3.86e-22	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000265382,9606.ENSP00000278568,9606.ENSP00000304283,9606.ENSP00000314067,9606.ENSP00000331902,9606.ENSP00000346671,9606.ENSP00000353864,9606.ENSP00000357883,9606.ENSP00000359073,9606.ENSP00000360916,9606.ENSP00000366563,9606.ENSP00000379350,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000466363,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,RAC2,PIK3R3,PIP5K1B,PAK1,RAC3,PAK2,COL4A5,FYN,PAK3,PIP5K1A,VAV3,VAV2,PIK3CD,ITGB1,MAPK9,PIK3R1,PIP5K1C,CTNNB1,PIK3CB
hsa05170	Human immunodeficiency virus 1 infection	19	203	1.45	3.79	2.54e-20	9606.ENSP00000222254,9606.ENSP00000248564,9606.ENSP00000248572,9606.ENSP00000249071,9606.ENSP00000262741,9606.ENSP00000278568,9606.ENSP00000300873,9606.ENSP00000304283,9606.ENSP00000314067,9606.ENSP00000353864,9606.ENSP00000359675,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000398629,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,GNG11,GNGT1,RAC2,PIK3R3,PAK1,GNG8,RAC3,PAK2,PAK3,GNG5,GNG12,GNG10,PIK3CD,MAPK9,GNG4,PIK3R1,PLCG2,PIK3CB
hsa04810	Regulation of actin cytoskeleton	19	209	1.43	3.73	3.64e-20	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000250617,9606.ENSP00000262741,9606.ENSP00000265382,9606.ENSP00000278568,9606.ENSP00000289104,9606.ENSP00000304283,9606.ENSP00000314067,9606.ENSP00000353864,9606.ENSP00000357883,9606.ENSP00000359073,9606.ENSP00000360021,9606.ENSP00000360916,9606.ENSP00000366563,9606.ENSP00000379350,9606.ENSP00000428056,9606.ENSP00000466363,9606.ENSP00000501150	PIK3R2,RAC2,ARHGEF6,PIK3R3,PIP5K1B,PAK1,MRAS,RAC3,PAK2,PAK3,PIP5K1A,VAV3,GNG12,VAV2,PIK3CD,ITGB1,PIK3R1,PIP5K1C,PIK3CB
hsa04360	Axon guidance	18	176	1.48	3.88	6.11e-20	9606.ENSP00000222254,9606.ENSP00000249071,9606.ENSP00000257414,9606.ENSP00000262741,9606.ENSP00000278568,9606.ENSP00000304283,9606.ENSP00000314067,9606.ENSP00000346671,9606.ENSP00000352882,9606.ENSP00000353864,9606.ENSP00000356000,9606.ENSP00000358696,9606.ENSP00000366563,9606.ENSP00000377061,9606.ENSP00000379350,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,RAC2,SEMA6A,PIK3R3,PAK1,RAC3,PAK2,FYN,PLXNA4,PAK3,PLXNA2,PLXNA3,PIK3CD,PLXNA1,ITGB1,PIK3R1,PLCG2,PIK3CB
hsa05167	Kaposi sarcoma-associated herpesvirus infection	17	187	1.43	3.48	5.25e-18	9606.ENSP00000222254,9606.ENSP00000248564,9606.ENSP00000248572,9606.ENSP00000262741,9606.ENSP00000300873,9606.ENSP00000359675,9606.ENSP00000360021,9606.ENSP00000361009,9606.ENSP00000363411,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000398629,9606.ENSP00000428056,9606.ENSP00000480157,9606.ENSP00000482457,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,GNG11,GNGT1,PIK3R3,GNG8,GNG5,GNG12,PREX1,GNG10,PIK3CD,MAPK9,GNG4,PIK3R1,PIK3R6,PLCG2,CTNNB1,PIK3CB
hsa04725	Cholinergic synapse	14	109	1.58	3.72	1.21e-16	9606.ENSP00000222254,9606.ENSP00000248564,9606.ENSP00000248572,9606.ENSP00000262741,9606.ENSP00000300873,9606.ENSP00000346671,9606.ENSP00000359675,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000366563,9606.ENSP00000398629,9606.ENSP00000428056,9606.ENSP00000480157,9606.ENSP00000501150	PIK3R2,GNG11,GNGT1,PIK3R3,GNG8,FYN,GNG5,GNG12,GNG10,PIK3CD,GNG4,PIK3R1,PIK3R6,PIK3CB
