#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-373755	Semaphorin interactions	22	64	2.16	9.97	1.91e-37	9606.ENSP00000246792,9606.ENSP00000257414,9606.ENSP00000258526,9606.ENSP00000259633,9606.ENSP00000261918,9606.ENSP00000264042,9606.ENSP00000265362,9606.ENSP00000265371,9606.ENSP00000308461,9606.ENSP00000317128,9606.ENSP00000324857,9606.ENSP00000331504,9606.ENSP00000351338,9606.ENSP00000352882,9606.ENSP00000356000,9606.ENSP00000357265,9606.ENSP00000358696,9606.ENSP00000371936,9606.ENSP00000377061,9606.ENSP00000416523,9606.ENSP00000442736,9606.ENSP00000496491	RRAS,SEMA6A,PLXNC1,CD72,SEMA7A,FARP2,SEMA3A,NRP1,RND1,PLXND1,SEMA6D,FES,PLXNB1,PLXNA4,PLXNA2,SEMA4A,PLXNA3,SEMA5A,PLXNA1,SEMA4D,PLXNB3,SEMA3E
HSA-422475	Axon guidance	29	551	1.34	3.84	5.94e-30	9606.ENSP00000173229,9606.ENSP00000246792,9606.ENSP00000257414,9606.ENSP00000258526,9606.ENSP00000259633,9606.ENSP00000261918,9606.ENSP00000264042,9606.ENSP00000265362,9606.ENSP00000265371,9606.ENSP00000308461,9606.ENSP00000317128,9606.ENSP00000324857,9606.ENSP00000331504,9606.ENSP00000332164,9606.ENSP00000351338,9606.ENSP00000352882,9606.ENSP00000353582,9606.ENSP00000356000,9606.ENSP00000357265,9606.ENSP00000358696,9606.ENSP00000359077,9606.ENSP00000368314,9606.ENSP00000371936,9606.ENSP00000376652,9606.ENSP00000377061,9606.ENSP00000416523,9606.ENSP00000442736,9606.ENSP00000493716,9606.ENSP00000496491	NTN1,RRAS,SEMA6A,PLXNC1,CD72,SEMA7A,FARP2,SEMA3A,NRP1,RND1,PLXND1,SEMA6D,FES,SLIT3,PLXNB1,PLXNA4,NRP2,PLXNA2,SEMA4A,PLXNA3,L1CAM,NRCAM,SEMA5A,EVL,PLXNA1,SEMA4D,PLXNB3,EFNB2,SEMA3E
HSA-416700	Other semaphorin interactions	14	19	2.49	8.51	9.91e-27	9606.ENSP00000257414,9606.ENSP00000258526,9606.ENSP00000259633,9606.ENSP00000261918,9606.ENSP00000317128,9606.ENSP00000324857,9606.ENSP00000352882,9606.ENSP00000356000,9606.ENSP00000357265,9606.ENSP00000371936,9606.ENSP00000377061,9606.ENSP00000416523,9606.ENSP00000442736,9606.ENSP00000496491	SEMA6A,PLXNC1,CD72,SEMA7A,PLXND1,SEMA6D,PLXNA4,PLXNA2,SEMA4A,SEMA5A,PLXNA1,SEMA4D,PLXNB3,SEMA3E
HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	10	14	2.48	6.01	1.52e-18	9606.ENSP00000246792,9606.ENSP00000264042,9606.ENSP00000265362,9606.ENSP00000265371,9606.ENSP00000308461,9606.ENSP00000331504,9606.ENSP00000352882,9606.ENSP00000356000,9606.ENSP00000358696,9606.ENSP00000377061	RRAS,FARP2,SEMA3A,NRP1,RND1,FES,PLXNA4,PLXNA2,PLXNA3,PLXNA1
HSA-399954	Sema3A PAK dependent Axon repulsion	7	16	2.26	3.61	2.11e-11	9606.ENSP00000265362,9606.ENSP00000265371,9606.ENSP00000331504,9606.ENSP00000352882,9606.ENSP00000356000,9606.ENSP00000358696,9606.ENSP00000377061	SEMA3A,NRP1,FES,PLXNA4,PLXNA2,PLXNA3,PLXNA1
HSA-399956	CRMPs in Sema3A signaling	7	16	2.26	3.61	2.11e-11	9606.ENSP00000265362,9606.ENSP00000265371,9606.ENSP00000331504,9606.ENSP00000352882,9606.ENSP00000356000,9606.ENSP00000358696,9606.ENSP00000377061	SEMA3A,NRP1,FES,PLXNA4,PLXNA2,PLXNA3,PLXNA1
HSA-416550	Sema4D mediated inhibition of cell attachment and migration	4	8	2.32	1.92	3.49e-06	9606.ENSP00000246792,9606.ENSP00000308461,9606.ENSP00000351338,9606.ENSP00000416523	RRAS,RND1,PLXNB1,SEMA4D
HSA-9013405	RHOD GTPase cycle	4	52	1.51	0.88	0.0020	9606.ENSP00000308576,9606.ENSP00000351338,9606.ENSP00000377061,9606.ENSP00000384537	RHOD,PLXNB1,PLXNA1,AKAP12
HSA-9012999	RHO GTPase cycle	8	449	0.87	0.66	0.0021	9606.ENSP00000264042,9606.ENSP00000308461,9606.ENSP00000308576,9606.ENSP00000317128,9606.ENSP00000350547,9606.ENSP00000351338,9606.ENSP00000377061,9606.ENSP00000384537	FARP2,RND1,RHOD,PLXND1,SEMA4F,PLXNB1,PLXNA1,AKAP12
HSA-416572	Sema4D induced cell migration and growth-cone collapse	3	20	1.8	0.84	0.0038	9606.ENSP00000308461,9606.ENSP00000351338,9606.ENSP00000416523	RND1,PLXNB1,SEMA4D
HSA-194315	Signaling by Rho GTPases	9	672	0.75	0.55	0.0045	9606.ENSP00000264042,9606.ENSP00000308461,9606.ENSP00000308576,9606.ENSP00000317128,9606.ENSP00000350547,9606.ENSP00000351338,9606.ENSP00000376652,9606.ENSP00000377061,9606.ENSP00000384537	FARP2,RND1,RHOD,PLXND1,SEMA4F,PLXNB1,EVL,PLXNA1,AKAP12
