#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKAP12	RHOD	9606.ENSP00000384537	9606.ENSP00000308576	0	0	0	0	0	0.142	0.500	0.044	0.554
AKAP12	PLXNB1	9606.ENSP00000384537	9606.ENSP00000351338	0	0	0	0	0.060	0	0.400	0	0.411
AKAP12	PLXNA1	9606.ENSP00000384537	9606.ENSP00000377061	0	0	0	0	0.059	0	0.400	0	0.411
CD72	SEMA3F	9606.ENSP00000259633	9606.ENSP00000002829	0	0	0	0	0	0	0	0.510	0.510
CD72	SEMA6A	9606.ENSP00000259633	9606.ENSP00000257414	0	0	0	0	0	0	0	0.508	0.508
CD72	NRP1	9606.ENSP00000259633	9606.ENSP00000265371	0	0	0	0	0	0.046	0	0.456	0.459
CD72	SEMA3B	9606.ENSP00000259633	9606.ENSP00000480680	0	0	0	0	0	0	0	0.519	0.519
CD72	PLXNB2	9606.ENSP00000259633	9606.ENSP00000352288	0	0	0	0	0	0	0	0.624	0.624
CD72	SEMA4A	9606.ENSP00000259633	9606.ENSP00000357265	0	0	0	0	0.063	0	0	0.676	0.683
CD72	PLXNB1	9606.ENSP00000259633	9606.ENSP00000351338	0	0	0	0	0	0	0	0.846	0.846
CD72	SEMA4D	9606.ENSP00000259633	9606.ENSP00000416523	0	0	0	0	0.063	0.510	0.900	0.998	0.999
CLEC4C	SEMA3F	9606.ENSP00000440428	9606.ENSP00000002829	0	0	0	0	0	0	0	0.490	0.489
CLEC4C	SEMA3A	9606.ENSP00000440428	9606.ENSP00000265362	0	0	0	0	0	0	0	0.424	0.424
CLEC4C	NRP1	9606.ENSP00000440428	9606.ENSP00000265371	0	0	0	0	0	0.046	0	0.888	0.889
CLEC4C	PLXNA4	9606.ENSP00000440428	9606.ENSP00000352882	0	0	0	0	0.042	0	0	0.440	0.440
CLEC4C	NRP2	9606.ENSP00000440428	9606.ENSP00000353582	0	0	0	0	0	0	0	0.469	0.469
CLEC4C	PLXNA3	9606.ENSP00000440428	9606.ENSP00000358696	0	0	0	0	0	0	0	0.493	0.493
CLEC4C	PLXNA1	9606.ENSP00000440428	9606.ENSP00000377061	0	0	0	0	0	0	0	0.492	0.492
EFNB2	SEMA3F	9606.ENSP00000493716	9606.ENSP00000002829	0	0	0	0	0.086	0	0	0.451	0.477
EFNB2	NTN1	9606.ENSP00000493716	9606.ENSP00000173229	0	0	0	0	0	0	0	0.510	0.510
EFNB2	SEMA3G	9606.ENSP00000493716	9606.ENSP00000231721	0	0	0	0	0.042	0	0	0.520	0.521
EFNB2	SEMA3C	9606.ENSP00000493716	9606.ENSP00000265361	0	0	0	0	0.116	0	0	0.510	0.548
EFNB2	SEMA3A	9606.ENSP00000493716	9606.ENSP00000265362	0	0	0	0	0.072	0	0	0.662	0.673
EFNB2	NRP1	9606.ENSP00000493716	9606.ENSP00000265371	0	0	0	0	0.065	0	0	0.808	0.813
EFNB2	PLXND1	9606.ENSP00000493716	9606.ENSP00000317128	0	0	0	0	0.140	0	0	0.352	0.419
EFNB2	SEMA6D	9606.ENSP00000493716	9606.ENSP00000324857	0	0	0	0	0.067	0	0	0.388	0.404
EFNB2	SLIT3	9606.ENSP00000493716	9606.ENSP00000332164	0	0	0	0	0.048	0	0	0.479	0.483
EFNB2	PLXNB1	9606.ENSP00000493716	9606.ENSP00000351338	0	0	0	0	0.163	0	0	0.512	0.574
EFNB2	NRP2	9606.ENSP00000493716	9606.ENSP00000353582	0	0	0	0	0.067	0	0	0.641	0.651
EFNB2	PLXNA1	9606.ENSP00000493716	9606.ENSP00000377061	0	0	0	0	0.163	0	0	0.610	0.660
EFNB2	SEMA4D	9606.ENSP00000493716	9606.ENSP00000416523	0	0	0	0	0	0	0	0.461	0.461
EVL	SEMA6A	9606.ENSP00000376652	9606.ENSP00000257414	0	0	0	0	0.042	0.292	0	0.854	0.892
EVL	PLXNA4	9606.ENSP00000376652	9606.ENSP00000352882	0	0	0	0	0.059	0	0	0.637	0.643
EVL	PLXNA2	9606.ENSP00000376652	9606.ENSP00000356000	0	0	0	0	0	0	0	0.616	0.616
EVL	SEMA4D	9606.ENSP00000376652	9606.ENSP00000416523	0	0	0	0	0.072	0	0	0.401	0.420
EVL	SEMA6B	9606.ENSP00000376652	9606.ENSP00000467290	0	0	0	0	0	0	0	0.832	0.832
FARP2	RND1	9606.ENSP00000264042	9606.ENSP00000308461	0	0	0	0	0	0	0	0.491	0.491
FARP2	NRP1	9606.ENSP00000264042	9606.ENSP00000265371	0	0	0	0	0	0	0.500	0.282	0.626
FARP2	PLXNA3	9606.ENSP00000264042	9606.ENSP00000358696	0	0	0	0	0.067	0	0.500	0.352	0.671
FARP2	PLXNA2	9606.ENSP00000264042	9606.ENSP00000356000	0	0	0	0	0	0	0.500	0.552	0.766
FARP2	FES	9606.ENSP00000264042	9606.ENSP00000331504	0	0	0	0	0	0	0.500	0.554	0.767
FARP2	SEMA3A	9606.ENSP00000264042	9606.ENSP00000265362	0	0	0	0	0	0	0.500	0.670	0.827
FARP2	PLXNA4	9606.ENSP00000264042	9606.ENSP00000352882	0	0	0	0	0	0	0.500	0.673	0.829
FARP2	PLXNA1	9606.ENSP00000264042	9606.ENSP00000377061	0	0	0	0	0.139	0	0.500	0.735	0.875
FES	RRAS	9606.ENSP00000331504	9606.ENSP00000246792	0	0	0	0	0.094	0.110	0.500	0.161	0.616
FES	FARP2	9606.ENSP00000331504	9606.ENSP00000264042	0	0	0	0	0	0	0.500	0.554	0.767
FES	SEMA3A	9606.ENSP00000331504	9606.ENSP00000265362	0	0	0	0	0	0.054	0.500	0.348	0.664
FES	NRP1	9606.ENSP00000331504	9606.ENSP00000265371	0	0	0	0	0	0	0.500	0.139	0.551
FES	RND1	9606.ENSP00000331504	9606.ENSP00000308461	0	0	0	0	0.076	0.110	0.500	0.280	0.665
FES	PLXNA4	9606.ENSP00000331504	9606.ENSP00000352882	0	0	0	0	0.074	0.071	0.900	0.125	0.914
FES	PLXNA2	9606.ENSP00000331504	9606.ENSP00000356000	0	0	0	0	0.074	0.071	0.900	0.201	0.922
FES	PLXNA3	9606.ENSP00000331504	9606.ENSP00000358696	0	0	0	0	0.074	0.071	0.900	0.283	0.930
FES	PLXNA1	9606.ENSP00000331504	9606.ENSP00000377061	0	0	0	0	0.074	0.071	0.900	0.553	0.956
L1CAM	SEMA3F	9606.ENSP00000359077	9606.ENSP00000002829	0	0	0	0	0.085	0.071	0	0.354	0.404
L1CAM	NTN1	9606.ENSP00000359077	9606.ENSP00000173229	0	0	0	0	0.053	0	0	0.413	0.421
L1CAM	SEMA3C	9606.ENSP00000359077	9606.ENSP00000265361	0	0	0	0	0.066	0.071	0	0.391	0.426
L1CAM	SEMA3A	9606.ENSP00000359077	9606.ENSP00000265362	0	0	0	0	0.045	0.084	0	0.780	0.790
L1CAM	NRP1	9606.ENSP00000359077	9606.ENSP00000265371	0	0	0	0	0	0.474	0.900	0.985	0.999
L1CAM	SEMA3D	9606.ENSP00000359077	9606.ENSP00000284136	0	0	0	0	0.045	0.071	0	0.389	0.410
L1CAM	PLXND1	9606.ENSP00000359077	9606.ENSP00000317128	0	0	0	0	0	0.071	0	0.566	0.579
L1CAM	PLXNB1	9606.ENSP00000359077	9606.ENSP00000351338	0	0	0	0	0.078	0.254	0	0.519	0.640
L1CAM	PLXNA4	9606.ENSP00000359077	9606.ENSP00000352882	0	0	0	0	0.067	0.071	0	0.628	0.649
L1CAM	NRP2	9606.ENSP00000359077	9606.ENSP00000353582	0	0	0	0	0.056	0.230	0	0.535	0.633
L1CAM	PLXNA3	9606.ENSP00000359077	9606.ENSP00000358696	0	0	0	0	0.073	0.071	0	0.389	0.428
L1CAM	SEMA3B	9606.ENSP00000359077	9606.ENSP00000480680	0	0	0	0	0.089	0.084	0	0.381	0.439
L1CAM	SEMA3E	9606.ENSP00000359077	9606.ENSP00000496491	0	0	0	0	0.098	0.071	0	0.413	0.466
L1CAM	PLXNB3	9606.ENSP00000359077	9606.ENSP00000442736	0	0	0	0	0.110	0.071	0	0.644	0.680
L1CAM	PLXNA1	9606.ENSP00000359077	9606.ENSP00000377061	0	0	0	0	0.084	0.254	0	0.643	0.734
MICAL1	SEMA3A	9606.ENSP00000486901	9606.ENSP00000265362	0	0	0	0	0	0	0	0.495	0.495
