#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COL11A1	COL1A1	9606.ENSP00000359114	9606.ENSP00000225964	0	0	0.095	0.847	0.244	0	0.720	0.841	0.965
COL11A1	COL6A3	9606.ENSP00000359114	9606.ENSP00000295550	0	0	0	0.564	0.182	0	0.400	0.675	0.826
COL11A1	COL1A2	9606.ENSP00000359114	9606.ENSP00000297268	0	0	0.093	0.841	0.295	0.069	0.900	0.899	0.992
COL11A1	COL6A2	9606.ENSP00000359114	9606.ENSP00000300527	0	0	0.109	0.609	0.172	0.126	0.400	0.531	0.785
COL11A1	COL3A1	9606.ENSP00000359114	9606.ENSP00000304408	0	0	0.092	0.840	0.353	0	0.720	0.817	0.965
COL11A1	COL4A5	9606.ENSP00000359114	9606.ENSP00000331902	0	0	0.099	0.717	0.086	0.071	0.400	0.466	0.710
COL11A1	COL4A2	9606.ENSP00000359114	9606.ENSP00000353654	0	0	0	0.645	0.122	0.091	0.400	0.476	0.715
COL11A1	COL6A1	9606.ENSP00000359114	9606.ENSP00000355180	0	0	0.105	0.600	0.183	0	0.400	0.516	0.759
COL11A1	THBS2	9606.ENSP00000359114	9606.ENSP00000355751	0	0	0	0	0.269	0.099	0	0.858	0.898
COL11A1	COL4A1	9606.ENSP00000359114	9606.ENSP00000364979	0	0	0.127	0.673	0.127	0.071	0.400	0.487	0.742
COL11A1	COL5A1	9606.ENSP00000359114	9606.ENSP00000360882	0	0	0.053	0.975	0.217	0	0.720	0.479	0.877
COL11A1	COL5A2	9606.ENSP00000359114	9606.ENSP00000364000	0	0	0.079	0.840	0.405	0.099	0.720	0.855	0.976
COL1A1	ITGB4	9606.ENSP00000225964	9606.ENSP00000200181	0	0	0	0	0.060	0.051	0.650	0.312	0.756
COL1A1	LAMB1	9606.ENSP00000225964	9606.ENSP00000222399	0	0	0	0	0.201	0.070	0	0.671	0.734
COL1A1	ITGB8	9606.ENSP00000225964	9606.ENSP00000222573	0	0	0	0	0	0.045	0.650	0.537	0.832
COL1A1	ITGA9	9606.ENSP00000225964	9606.ENSP00000264741	0	0	0	0	0	0	0.650	0.190	0.704
COL1A1	ITGB7	9606.ENSP00000225964	9606.ENSP00000267082	0	0	0	0	0.055	0.051	0.650	0.181	0.708
COL1A1	COL4A6	9606.ENSP00000225964	9606.ENSP00000378340	0	0	0.119	0.684	0.099	0	0.400	0.466	0.711
COL1A1	ITGA7	9606.ENSP00000225964	9606.ENSP00000452120	0	0	0	0	0.067	0	0.650	0.297	0.750
COL1A1	PTK2	9606.ENSP00000225964	9606.ENSP00000341189	0	0	0	0	0.055	0	0.650	0.317	0.754
COL1A1	ITGA8	9606.ENSP00000225964	9606.ENSP00000367316	0	0	0	0	0.062	0	0.650	0.341	0.765
COL1A1	LAMC1	9606.ENSP00000225964	9606.ENSP00000258341	0	0	0	0	0.172	0.067	0	0.726	0.770
COL1A1	ITGA6	9606.ENSP00000225964	9606.ENSP00000386896	0	0	0	0	0	0	0.650	0.372	0.771
COL1A1	SMAD3	9606.ENSP00000225964	9606.ENSP00000332973	0	0	0	0	0	0.126	0	0.751	0.773
COL1A1	COL4A5	9606.ENSP00000225964	9606.ENSP00000331902	0	0	0.097	0.716	0.085	0	0.400	0.641	0.798
COL1A1	COL4A1	9606.ENSP00000225964	9606.ENSP00000364979	0	0	0.122	0.700	0.384	0	0.400	0.531	0.827
COL1A1	THBS2	9606.ENSP00000225964	9606.ENSP00000355751	0	0	0	0	0.368	0.099	0	0.722	0.828
COL1A1	ITGA10	9606.ENSP00000225964	9606.ENSP00000358310	0	0	0	0	0.042	0	0.650	0.531	0.829
COL1A1	ITGA4	9606.ENSP00000225964	9606.ENSP00000380227	0	0	0	0	0.043	0	0.650	0.535	0.830
COL1A1	ITGA3	9606.ENSP00000225964	9606.ENSP00000315190	0	0	0	0	0.099	0	0.650	0.558	0.848
COL1A1	ITGB6	9606.ENSP00000225964	9606.ENSP00000283249	0	0	0	0	0.062	0.051	0.650	0.578	0.851
COL1A1	ITGB5	9606.ENSP00000225964	9606.ENSP00000296181	0	0	0	0	0.106	0.051	0.650	0.582	0.859
COL1A1	ITGAV	9606.ENSP00000225964	9606.ENSP00000261023	0	0	0	0	0.093	0	0.650	0.635	0.874
COL1A1	ITGA1	9606.ENSP00000225964	9606.ENSP00000282588	0	0	0	0	0.095	0	0.650	0.650	0.879
COL1A1	ITGA11	9606.ENSP00000225964	9606.ENSP00000327290	0	0	0	0	0.271	0	0.650	0.597	0.888
COL1A1	FBN1	9606.ENSP00000225964	9606.ENSP00000325527	0	0	0	0	0.517	0.099	0	0.851	0.929
COL1A1	ITGB3	9606.ENSP00000225964	9606.ENSP00000452786	0	0	0	0	0.062	0.051	0.650	0.809	0.932
COL1A1	ITGA5	9606.ENSP00000225964	9606.ENSP00000293379	0	0	0	0	0.104	0	0.650	0.838	0.944
COL1A1	P3H1	9606.ENSP00000225964	9606.ENSP00000236040	0	0	0	0	0.136	0.075	0.500	0.880	0.945
COL1A1	COL6A2	9606.ENSP00000225964	9606.ENSP00000300527	0	0	0.202	0.602	0.697	0.073	0.400	0.716	0.954
COL1A1	COL11A1	9606.ENSP00000225964	9606.ENSP00000359114	0	0	0.095	0.847	0.244	0	0.720	0.841	0.965
COL1A1	COL6A1	9606.ENSP00000225964	9606.ENSP00000355180	0	0	0.191	0.596	0.808	0	0.400	0.711	0.969
COL1A1	CRTAP	9606.ENSP00000225964	9606.ENSP00000323696	0	0	0	0	0.062	0.292	0.500	0.925	0.971
COL1A1	COL6A3	9606.ENSP00000225964	9606.ENSP00000295550	0	0	0	0.576	0.685	0	0.400	0.875	0.974
COL1A1	ITGA2	9606.ENSP00000225964	9606.ENSP00000296585	0	0	0	0	0.067	0.287	0.900	0.779	0.983
COL1A1	ITGB1	9606.ENSP00000225964	9606.ENSP00000379350	0	0	0	0	0.093	0.294	0.900	0.793	0.984
COL1A1	COL5A1	9606.ENSP00000225964	9606.ENSP00000360882	0	0	0.091	0.845	0.795	0.230	0.720	0.880	0.994
COL1A1	COL5A2	9606.ENSP00000225964	9606.ENSP00000364000	0	0	0.064	0.948	0.839	0	0.720	0.912	0.995
COL1A1	COL3A1	9606.ENSP00000225964	9606.ENSP00000304408	0	0	0.065	0.950	0.958	0	0.900	0.965	0.999
COL1A1	COL1A2	9606.ENSP00000225964	9606.ENSP00000297268	0	0	0.061	0.957	0.964	0.649	0.900	0.981	0.999
COL1A2	ITGB4	9606.ENSP00000297268	9606.ENSP00000200181	0	0	0	0	0.046	0.051	0.650	0.275	0.739
COL1A2	ITGB8	9606.ENSP00000297268	9606.ENSP00000222573	0	0	0	0	0	0.045	0.650	0.238	0.723
COL1A2	COL1A1	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0.061	0.957	0.964	0.649	0.900	0.981	0.999
COL1A2	P3H1	9606.ENSP00000297268	9606.ENSP00000236040	0	0	0	0	0.083	0	0.500	0.889	0.945
COL1A2	LAMA5	9606.ENSP00000297268	9606.ENSP00000252999	0	0	0	0	0.065	0.071	0.400	0.596	0.761
COL1A2	LAMC1	9606.ENSP00000297268	9606.ENSP00000258341	0	0	0	0	0.147	0.067	0	0.654	0.701
COL1A2	ITGAV	9606.ENSP00000297268	9606.ENSP00000261023	0	0	0	0	0.178	0	0.650	0.647	0.889
COL1A2	ITGA9	9606.ENSP00000297268	9606.ENSP00000264741	0	0	0	0	0	0	0.650	0.192	0.705
COL1A2	ITGA1	9606.ENSP00000297268	9606.ENSP00000282588	0	0	0	0	0.107	0	0.650	0.575	0.855
COL1A2	ITGB6	9606.ENSP00000297268	9606.ENSP00000283249	0	0	0	0	0.044	0.051	0.650	0.307	0.750
COL1A2	ITGA5	9606.ENSP00000297268	9606.ENSP00000293379	0	0	0	0	0.083	0	0.650	0.627	0.869
COL1A2	COL6A3	9606.ENSP00000297268	9606.ENSP00000295550	0	0	0	0.567	0.789	0	0.400	0.772	0.968
COL1A2	ITGB5	9606.ENSP00000297268	9606.ENSP00000296181	0	0	0	0	0.085	0.051	0.650	0.394	0.791
