#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	RAC2	9606.ENSP00000361423	9606.ENSP00000249071	0	0	0	0	0.086	0.110	0.900	0.353	0.940
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0.063	0.896	0.900	0.685	0.996
ABL1	PXN	9606.ENSP00000361423	9606.ENSP00000267257	0	0	0	0	0.080	0.091	0	0.718	0.744
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0	0	0.583	0.056	0.986	0.900	0.953	0.999
ABL1	RAC3	9606.ENSP00000361423	9606.ENSP00000304283	0	0	0	0	0.116	0.110	0.900	0.093	0.919
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0.049	0.887	0.900	0.855	0.998
ABL1	FYN	9606.ENSP00000361423	9606.ENSP00000346671	0	0	0.075	0.876	0.083	0.136	0.900	0.422	0.949
ABL1	NTRK3	9606.ENSP00000361423	9606.ENSP00000354207	0	0	0	0.629	0	0	0.900	0.192	0.915
ABL1	GAB2	9606.ENSP00000361423	9606.ENSP00000354952	0	0	0	0	0.063	0	0	0.852	0.855
ABL1	RAPGEF1	9606.ENSP00000361423	9606.ENSP00000361264	0	0	0	0	0.150	0.389	0	0.603	0.776
ABL1	SOS1	9606.ENSP00000361423	9606.ENSP00000384675	0	0	0	0	0.060	0.323	0	0.631	0.745
ABL1	VAV1	9606.ENSP00000361423	9606.ENSP00000472929	0	0	0	0.554	0.134	0.510	0	0.493	0.766
ABL1	CDC42	9606.ENSP00000361423	9606.ENSP00000497733	0	0	0	0	0.074	0.110	0.500	0.532	0.781
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0.062	0.793	0	0.203	0.832
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000495360	0	0	0	0	0.095	0.539	0.500	0.785	0.949
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.642	0	0.510	0.900	0.212	0.958
ABL1	SHC1	9606.ENSP00000361423	9606.ENSP00000401303	0	0	0	0.555	0.141	0.610	0.900	0.776	0.991
ABL1	GRB2	9606.ENSP00000361423	9606.ENSP00000376345	0	0	0	0.748	0.083	0.846	0.900	0.973	0.999
ABLIM1	RAC2	9606.ENSP00000277895	9606.ENSP00000249071	0	0	0	0	0.054	0	0.900	0.202	0.917
ABLIM1	RAC3	9606.ENSP00000277895	9606.ENSP00000304283	0	0	0	0	0	0	0.900	0.102	0.906
ABLIM1	CDC42	9606.ENSP00000277895	9606.ENSP00000497733	0	0	0	0	0.058	0	0.900	0.253	0.923
ABLIM1	ABLIM3	9606.ENSP00000277895	9606.ENSP00000425394	0	0	0	0.947	0.057	0	0.900	0.370	0.935
ABLIM3	RAC2	9606.ENSP00000425394	9606.ENSP00000249071	0	0	0	0	0.047	0	0.900	0.119	0.908
